cyc,freq (MHz),wiggle time pre,pulse time,wiggle time post,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
50,44.923,0.57,0.01,0.41,3,50,37433.9,-0.033944,51.6226,15.9846,80.519,-0.0179366,-23.0292,500,0.331151,1.34764,0.727424,1.4457,-0.0346868,-7.70301,336.797,62.0724,37610.1,26875.4,0.379654,1.39615,0.824432,1.49421,0.0138171,0.799323,347.602,62.8727,37620.9,0.0118572,0.759571,0.00306911,29315.7 
51,44.783,0.57,0.01,0.41,3,51,34088.6,0.0339324,50.0816,14.862,80.506,-0.010898,-22.8105,3.78863e-12,1.90429,0.138598,0.877989,2.98995,0.857467,-7.79608,6721.8,114.254,27820.5,24238,1.95338,0.187688,0.976169,3.03904,0.906557,0.861788,6732.73,115.064,27831.4,0.239064,0.970961,0.00755831,28162.9 
52,44.863,0.57,0.01,0.41,3,52,33459.1,-0.0935394,49.3588,14.9394,80.6989,-0.0453974,-10.7124,105.815,-0.862522,1.86394,1.18582,4.45997,2.37734,-8.29207,8010,137.919,25894.4,24020.3,-0.810309,1.91615,1.29024,4.51219,2.42955,0.861826,8021.63,138.781,25906.1,0.286801,0.970613,0.00977185,27969.3 
53,44.813,0.57,0.01,0.41,3,53,32820,-0.0855445,49.4637,14.6087,80.8177,-0.0742781,-135.34,4.39272,-0.0927508,0.0559655,-3.5983,1.84805,-0.179362,-71.3634,13825.3,133.04,19439.8,23850.3,0.356606,0.505322,-2.69958,2.29741,0.269994,4.69935,13925.4,140.455,19539.8,0.480666,0.982655,0.0130682,28971.1 
54,44.883,0.57,0.01,0.41,3,54,33704.1,-0.0921519,49.1991,15.0918,80.7337,-0.162661,219.336,138.719,-0.304335,-2.1727,1.93612,0.884092,3.8671,31.5102,3157.24,100.173,31020.2,25332.4,-0.502746,-2.37111,1.53929,0.685681,3.66869,0.490267,3113.04,96.8996,30976,0.115449,0.948342,0.00572949,26964.6 
55,44.793,0.57,0.01,0.41,3,55,33532.2,-0.0120801,49.8975,14.8259,80.6673,-0.101628,45.3524,499.602,-0.215378,1.23617,-1.79063,0.370217,-0.33367,-99.4534,8749.73,91.5875,25362.9,24232.2,0.410853,1.8624,-0.538166,0.996449,0.292561,1.17796,8889.22,101.92,25502.4,0.311617,0.98033,0.00730816,28526.1 
56,44.763,0.57,0.01,0.41,3,56,36274.1,-0.104142,49.2854,16.2266,80.6361,0.024436,75.047,462.097,-1.93185,-4.28001,-1.78304,-0.696057,-1.36881,40.8202,2911.79,-38.9073,33805.5,26093.8,-2.18889,-4.53705,-2.29711,-0.953091,-1.62584,0.802007,2854.53,-43.1483,33748.2,0.098976,1.02717,-0.00236076,28840.6 
57,44.903,0.57,0.01,0.41,3,57,36795.8,-0.153642,51.5729,15.8355,80.5945,-0.0951924,-63.5894,484.248,-0.20158,-0.634656,-0.899547,3.2914,1.0725,30.7661,960.589,91.3587,36272.8,26782.8,-0.395305,-0.828382,-1.287,3.09768,0.878777,1.87804,917.437,88.1623,36229.7,0.0318396,0.856041,0.00446262,28814.3 
58,44.663,0.57,0.01,0.41,3,58,38173.2,-0.175776,52.9066,16.0496,80.5454,-0.217944,145.958,500,-2.43027,0.496899,0.518902,1.1341,1.6959,3.01619,782.753,-3.89086,38022.6,28677.5,-2.44926,0.477907,0.480918,1.11511,1.67691,0.630512,778.522,-4.20424,38018.4,0.0259052,1.00954,-0.000203749,30052.7 
59,44.833,0.57,0.01,0.41,3,59,26279.2,-0.0316044,42.4638,13.6353,80.7767,-0.0230975,-98.8904,500,0.683916,2.54632,-1.60461,-0.898513,-0.746265,-102.182,11670.9,151.571,15106.8,18922.9,1.32733,3.18973,-0.317787,-0.255103,-0.102855,1.08273,11814.2,162.187,15250.2,0.501519,0.976539,0.0192146,23556.8 
60,44.723,0.57,0.01,0.41,3,60,37411.7,-0.0854759,48.8679,16.9722,80.4145,0.141195,-170.449,500,-2.97578,-3.63819,4.67851,3.86071,3.14472,32.18,448.794,62.0934,37446.3,27783,-3.17841,-3.84081,4.27326,3.65808,2.94209,-0.108727,403.659,58.7501,37401.2,0.0138227,0.797002,0.00288524,29202.6 
61,44.703,0.57,0.01,0.41,3,61,38603.6,-0.178753,50.6874,16.9431,80.5018,-0.133639,196.718,182.229,-0.300351,1.4519,3.58479,5.4154,2.23698,75.4039,1026.57,8.98914,37976.3,28812.6,-0.77515,0.977104,2.63519,4.9406,1.76218,0.723773,920.806,1.15496,37870.6,0.0306107,0.99781,5.61767e-05,30081.1 
62,44.823,0.57,0.01,0.41,3,62,31770.8,-0.00909203,49.2508,14.1755,80.946,-0.0372957,-0.391395,500,1.79559,0.60426,1.49287,4.41693,-0.891119,-26.6274,14608.6,164.98,17513.2,22727.8,1.96325,0.771926,1.82821,4.5846,-0.723453,0.78299,14645.9,167.747,17550.5,0.5201,0.98035,0.0173021,28159.8 
63,44.853,0.57,0.01,0.41,3,63,31323.8,-0.0939975,47.6685,14.4972,80.8137,-0.035137,61.6719,447.236,-2.38986,0.468085,6.12157,5.31307,4.52179,-55.9674,10731.8,131.451,21048.2,22566.8,-2.03745,0.820497,6.8264,5.66548,4.8742,0.57729,10810.3,137.266,21126.7,0.39923,0.978262,0.0118271,27077.8 
