cyc,freq (MHz),wiggle time pre,pulse time,wiggle time post,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
50,44.923,0.4,0.01,0.58,3,50,34917.5,-0.00982376,50.0181,15.7698,80.7648,-0.00844827,-17.7955,2.9921e-11,0.991856,2.3319,1.769,-0.207985,-0.0843209,-38.5817,112.755,-68.6584,36404.8,25682.1,1.2348,2.57484,2.25487,0.0349536,0.158618,0.639686,166.87,-64.6499,36458.9,0.00590893,3.10557,-0.00327717,28240.2 
51,44.783,0.4,0.01,0.58,3,51,33064.3,-0.3067,50.8676,14.8029,80.9982,-0.197417,368.913,62.7832,-2.04237,1.58004,1.83754,-1.93013,2.58402,-46.6673,5925.29,29.8657,28513.1,26883,-1.74852,1.8739,2.42524,-1.63628,2.87788,0.360468,5990.75,34.7142,28578.6,0.213984,0.989961,0.0022326,27996.2 
52,44.863,0.4,0.01,0.58,3,52,31576.1,-0.285962,49.5408,14.4993,81.2189,-0.134341,116.887,178.939,-0.00570914,0.168056,6.02514,0.798667,-1.02262,-40.7201,8101.03,51.7295,24820.5,23894.5,0.250694,0.42446,6.53795,1.05507,-0.766217,0.128501,8158.14,55.9601,24877.6,0.298681,0.988138,0.00412656,27313.9 
53,44.813,0.4,0.01,0.58,3,53,31066.7,-0.00710242,50.7269,13.7825,81.3958,-0.102414,79.7398,500,-1.17023,-0.27908,1.79315,1.56068,1.9178,-62.9176,13884.5,114.312,18482.4,23025.3,-0.77406,0.117095,2.58551,1.95685,2.31397,0.582941,13972.8,120.849,18570.6,0.494224,0.98509,0.0118456,28272.2 
54,44.883,0.4,0.01,0.58,3,54,35653.8,-0.110227,53.4152,15.1046,80.9582,-0.185086,265.917,1.06376e-07,2.21713,0.879039,3.56439,4.26843,0.402231,-25.4939,4614.12,17.266,32394.5,27866.6,2.37766,1.03957,3.88545,4.42896,0.562759,0.683966,4649.88,19.9147,32430.3,0.156978,0.992561,0.00112992,29621.2 
55,44.793,0.4,0.01,0.58,3,55,32996.1,-0.174791,52.0375,14.325,81.1443,-0.212692,424.103,4.47449e-09,0.0117194,-1.14497,3.64476,1.97073,3.6558,-40.7085,9100.05,56.4338,25030.7,27202.8,0.26805,-0.888641,4.15742,2.22706,3.91213,0.570337,9157.15,60.6632,25087.8,0.321588,0.98854,0.00443452,28474.8 
56,44.763,0.4,0.01,0.58,3,56,33486.6,-0.3225,49.5037,15.4322,80.9565,0.0829975,172.97,326.985,-1.5057,0.920853,-0.987428,-1.01904,2.23173,-23.872,2142.73,-65.1581,32583.2,25336.5,-1.35539,1.07117,-0.686797,-0.868722,2.38205,2.26643,2176.22,-62.6779,32616.7,0.0797411,1.05308,-0.00355246,27291 
57,44.903,0.4,0.01,0.58,3,57,34173.4,-0.339172,50.8999,15.3391,80.9104,0.360374,-96.8237,60.007,0.310298,0.459269,1.7966,4.77483,1.70161,-30.3389,1222.11,-83.8851,34283.9,26552.2,0.501334,0.650305,2.17867,4.96586,1.89265,0.78617,1264.66,-80.733,34326.4,0.0456623,1.12577,-0.00435134,27696 
58,44.663,0.4,0.01,0.58,3,58,35510.6,-0.128973,50.7112,15.8789,80.6307,0.0698528,20.5926,9.89188e-05,1.10751,-0.432344,0.138971,2.3861,4.44177,-74.609,653.598,-83.9413,36269.2,26260.1,1.5773,0.0374488,1.07856,2.85589,4.91156,0.896895,758.245,-76.1897,36373.9,0.026359,1.21336,-0.00387347,28766.1 
59,44.833,0.4,0.01,0.58,3,59,27409.9,0.162649,46.9266,13.0678,81.3699,-0.162151,38.5328,2.18186e-13,-1.6083,-1.60207,1.59733,0.672588,3.03722,-95.8526,12491.7,83.6116,16083.1,20166,-1.00474,-0.998512,2.80445,1.27615,3.64078,0.50955,12626.2,93.5703,16217.6,0.502761,0.987197,0.0105166,25113.7 
60,44.723,0.4,0.01,0.58,3,60,34978.4,-0.341064,51.4909,15.5068,80.7514,-0.388472,543.331,15.6783,-0.788471,1.51257,-0.339917,2.17769,0.659533,-19.4352,326.596,-36.1701,35988.6,32863.6,-0.666093,1.63495,-0.0951612,2.30007,0.781911,1.02406,353.856,-34.1508,36015.9,0.012599,1.20322,-0.00174977,28086.1 
