,index,time,pulse_length,B,e_B,A,x0,sigma,C,e_A,e_x0,e_sigma,e_C
0,0,345.0,10,202.0829451426192,0.001941411706894769,0.518903304210707,44.81407333530533,0.09339949816839425,0.012534221312842351,0.0042954194662467296,0.00030328020650176356,0.0009133457704624869,0.0022766328509328596
1,1,375.0,10,202.11704092402783,0.002068975728747091,0.5146594529005676,44.81939939632467,0.09215847014006916,0.012278345478342525,0.0045627029355091815,0.00032317469129797743,0.0009580083499126225,0.0023926991642918842
2,2,405.0,10,202.17157380751595,0.0025582947227178465,0.5088407165323997,44.82791678088114,0.0924644990239939,0.01303791173396892,0.005351739659168814,0.0003995408636833142,0.0011436949752690025,0.0028237897477774057
3,3,435.0,10,202.22766199386143,0.0027541731916755907,0.5138333889669382,44.836675632774345,0.09219153488213337,0.01195954214887377,0.005600854087338948,0.00043005968289551726,0.0011751442864356603,0.002936445639326755
4,4,465.0,10,202.18754410060305,0.0022591568325935896,0.5033420759352595,44.83041088618204,0.09415582806976514,0.012327673268056396,0.004538017392920365,0.00035280636695614786,0.0010000538142046378,0.00242339459855049
5,5,485.0,10,202.12793344682512,0.0024548917443212304,0.5109560831141284,44.82110078947923,0.0912580254013426,0.015082829076010532,0.005400689399300822,0.0003834421586315665,0.0011258774251984753,0.0028108885293682603
6,6,515.0,10,202.0821120232907,0.002211847503104991,0.502115279672534,44.81394318792239,0.09335315309165686,0.014426494268086166,0.004738464814062906,0.00034552741625248516,0.0010403998000216596,0.002510306717224
