cyc,freq (MHz),wiggle time pre,pulse time,wiggle time post,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
25,44.923,0.54,0.01,0.44,3,25,35507.4,-0.0296169,48.6331,16.0884,80.8281,0.00906714,-1.95399,500,0.726238,1.77154,2.33147,-0.2433,-2.25292,-4.29545,252.746,157.307,35732.3,25471.2,0.753285,1.79859,2.38556,-0.216253,-2.22587,0.0439812,258.771,157.753,35738.3,0.00931594,0.48383,0.0080657,27777.3 
26,44.783,0.54,0.01,0.44,3,26,36779.8,-0.0891281,55.4733,14.584,81.0634,0.0233316,12.8478,10.1864,2.40011,0.472441,-3.13527,-0.956247,1.40657,-26.9892,9268.67,129.662,27920.1,26346,2.57005,0.642385,-2.79539,-0.786303,1.57651,3.31548,9306.53,132.466,27958,0.301825,0.975696,0.00865246,30834.2 
27,44.863,0.54,0.01,0.44,3,27,36675.7,-0.0906251,54.9611,14.6804,80.8313,-0.0192322,-80.3649,32.475,0.473657,0.235993,4.36831,2.11514,3.8151,9.12757,7860.9,116.144,29100.1,26315.9,0.416183,0.17852,4.25337,2.05767,3.75763,0.601123,7848.09,115.195,29087.3,0.259481,0.974957,0.0072425,30245.3 
28,44.813,0.54,0.01,0.44,3,28,32017.2,-0.0374471,49.8137,14.0788,81.0285,-0.0362994,-85.091,430.853,1.81421,2.50145,0.80917,-0.490589,1.00228,-51.203,13982.1,187.758,18300.7,22930.7,2.13662,2.82386,1.45399,-0.168178,1.32469,0.807952,14053.9,193.078,18372.5,0.498353,0.976522,0.0189911,28200.8 
29,44.883,0.54,0.01,0.44,3,29,37157.7,-0.00392222,51.6527,15.8801,80.8444,0.00841117,-8.68603,2.40236e-10,-1.43342,-0.179217,1.87473,0.81392,2.04588,17.3941,2911.35,75.5399,34655.3,26704.2,-1.54294,-0.288743,1.65568,0.704394,1.93635,0.328254,2886.96,73.7327,34630.9,0.0976882,0.957217,0.00390671,29552.7 
30,44.793,0.54,0.01,0.44,3,30,31360.7,-0.0894149,49.5094,13.9638,80.8698,-0.12725,98.9128,217.19,1.21163,1.31861,-2.90734,0.0512974,1.22251,-74.8907,10653.4,147.181,21193.8,22915.2,1.6832,1.79017,-1.96421,0.522864,1.69408,1.52715,10758.4,154.962,21298.8,0.396134,0.975413,0.0132252,27158.5 
31,44.763,0.54,0.01,0.44,3,31,37766.3,-0.0511224,52.0368,15.9737,80.7977,-0.0664278,-53.4409,500,0.608318,1.79909,-5.49244,1.80175,3.03057,3.4785,4156.37,146.348,33878.9,27174.6,0.586415,1.77718,-5.53625,1.77985,3.00866,4.4262,4151.49,145.986,33874,0.13731,0.942029,0.00787636,30234.5 
32,44.903,0.54,0.01,0.44,3,32,37708.2,0.000541576,50.9487,16.3834,81.0091,0.013483,-16.7917,3.89781e-11,1.35145,1.19097,1.52962,1.30442,1.76598,-6.71759,836.928,-93.0014,37471.5,27179.9,1.39375,1.23327,1.61422,1.34671,1.80828,0.781752,846.35,-92.3035,37480.9,0.0284902,1.23587,-0.00455718,29706.7 
33,44.663,0.54,0.01,0.44,3,33,37562.4,-0.0501358,50.9049,16.2624,80.6569,0.00825305,16.3992,5.64564e-11,-1.4831,2.17763,0.106933,2.35641,0.432801,29.2803,1069.01,-0.366088,36895.7,26953.2,-1.66747,1.99326,-0.261807,2.17204,0.248431,1.10538,1027.95,-3.4082,36854.6,0.034957,1.00584,-0.000170381,29406 
34,44.833,0.54,0.01,0.44,3,34,32317.3,-0.0499267,50.3573,14.0524,80.8583,-0.0950496,124.413,92.1657,-2.4577,-2.81649,5.35807,1.10344,3.48816,-27.6882,13317.1,114.218,19268.6,23421,-2.28336,-2.64214,5.70676,1.27778,3.6625,0.00258421,13356,117.095,19307.4,0.473236,0.984889,0.0110485,28222.7 
