cyc,freq (MHz),wiggle time pre,pulse time,wiggle time post,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,44.923,0.34,0.01,0.64,3,0,34698.4,-0.364078,50.9324,15.6087,80.1238,-0.191908,94.2302,61.0829,-0.0729048,2.64332,-0.482005,4.34595,1.64672,7.40031,458.875,1.9679,35496.1,26468.2,-0.119503,2.59672,-0.575201,4.29935,1.60013,1.07373,448.495,1.19903,35485.7,0.0161489,0.995343,6.22394e-05,27772.5 
1,44.783,0.34,0.01,0.64,3,1,33622,0.0264186,53.3984,14.0682,80.378,0.0428145,-41.9409,7.96604e-12,-0.0870632,-1.26747,1.89208,-0.617997,-0.892148,-52.0664,10585.7,94.3122,24153.9,24513.2,0.240785,-0.939623,2.54777,-0.290149,-0.564299,-1.56189,10658.8,99.7217,24226.9,0.363613,0.983891,0.00752532,29313.5 
2,44.863,0.34,0.01,0.64,3,2,33261.9,-0.297132,50.2109,15.0603,80.2007,-0.239096,613.716,447.64,-0.235055,-2.09494,3.43987,1.27744,-0.590641,-52.8597,5472.59,93.2062,29091.4,29393.4,0.0977882,-1.7621,4.10555,1.61029,-0.257797,-0.0821936,5546.73,98.6981,29165.5,0.198068,0.969801,0.00619519,28004.2 
3,44.813,0.34,0.01,0.64,3,3,29757,-0.258501,50.8271,13.2937,80.7082,0.0326096,137.053,278.256,-0.980774,-2.2564,1.62944,-2.82636,-0.852867,-69.8544,14346.6,115.224,16665,22141.1,-0.54092,-1.81655,2.50915,-2.38651,-0.413013,1.94762,14444.6,122.482,16762.9,0.528099,0.985378,0.013281,27352.1 
4,44.883,0.34,0.01,0.64,3,4,35557.5,-0.0234849,48.6684,16.3865,80.4352,0.00107348,13.5272,500,1.72121,0.732686,-1.06446,-1.20734,-0.137889,-28.3436,2278.18,-50.8976,34450.9,25961.9,1.89968,0.911158,-0.707517,-1.02886,0.0405832,1.63452,2317.94,-47.9528,34490.6,0.0802729,1.03756,-0.00256768,28875.7 
5,44.793,0.34,0.01,0.64,3,5,31369.8,-0.00506139,50.9601,13.8369,80.5347,-0.176631,137.372,483.831,0.0659825,1.83159,3.39102,-3.28849,-0.448,-46.7495,12546.1,121.314,20065.2,23744.2,0.360352,2.12596,3.97976,-2.99412,-0.153631,-0.199327,12611.6,126.171,20130.8,0.448616,0.982794,0.0114137,28112.3 
6,44.763,0.34,0.01,0.64,3,6,33982.7,-0.227623,51.1367,15.0732,80.2983,-0.19192,-170.163,500,-0.0472249,1.48626,6.16161,1.24942,-1.40026,-26.0836,4770.04,80.1156,30523.3,26155,0.117016,1.6505,6.4901,1.41367,-1.23602,0.230599,4806.63,82.8256,30559.9,0.169619,0.970728,0.0049678,28337.8 
7,44.903,0.34,0.01,0.64,3,7,31869.8,0.0083857,49.0845,14.6663,80.6963,-0.0249386,-1.69441,500,2.10463,-2.57183,2.16186,-0.497174,-0.808764,-49.7426,381.178,-77.0355,32877.9,23436,2.41785,-2.25862,2.78829,-0.183958,-0.495548,-0.229395,450.947,-71.8675,32947.7,0.0174646,1.38677,-0.00403432,25820.7 
8,44.663,0.34,0.01,0.64,3,8,36489.9,-0.372697,52.8812,15.7878,80.2018,-0.0647463,-15.1248,12.4256,1.06474,-1.73629,2.16607,-1.39515,-0.194477,-46.1226,1039.05,-90.2279,36761.2,27210,1.35517,-1.44587,2.74692,-1.10473,0.0959446,-0.667389,1103.75,-85.4359,36825.9,0.0374663,1.15668,-0.00429202,29459.7 
9,44.833,0.34,0.01,0.64,3,9,31818.4,-0.0625095,51.8456,13.8571,80.9542,-0.147902,182.426,500,-1.85839,0.438403,1.12444,3.23474,1.96436,-65.4073,13435.3,148.09,19569,24265.5,-1.44653,0.850255,1.94815,3.64659,2.37622,0.735833,13527,154.885,19660.7,0.471888,0.980356,0.0143043,28665.8 
10,44.723,0.34,0.01,0.64,3,10,34574.3,-0.331908,49.956,15.7868,80.5591,-0.479793,705.27,474.507,2.89943,-0.059203,1.26165,1.68225,2.29287,33.1952,259.043,-28.1096,35576.2,36688.5,2.69041,-0.268224,0.843604,1.47323,2.08385,0.876356,212.483,-31.5585,35529.7,0.00770695,1.35119,-0.00163889,27570.3 
11,44.703,0.34,0.01,0.64,3,11,34778.3,-0.333271,50.1974,15.8022,80.5467,-0.315555,534.5,0.00630385,-1.51629,-0.902622,2.62586,-0.834003,4.04963,-13.0847,404.618,-25.4299,35681.5,31312.9,-1.4339,-0.820232,2.79064,-0.751612,4.13202,0.287543,422.971,-24.0704,35699.9,0.0151538,1.1106,-0.00124357,27911.9 
12,44.823,0.34,0.01,0.64,3,12,31016.7,-0.00848453,50.3698,13.83,80.8443,-0.133876,181.345,1.26305e-11,-1.8779,0.286995,-2.54643,-0.298882,-1.8798,-56.1131,14509.6,140.734,17625.8,23467.5,-1.52457,0.640324,-1.83977,0.0544473,-1.52647,0.561545,14588.3,146.564,17704.5,0.516935,0.982722,0.0150205,28220.8 
13,44.853,0.34,0.01,0.64,3,13,33724.1,-0.296973,51.8828,14.7638,80.5726,-0.528048,592.03,446.374,-2.19956,2.34243,1.04407,2.99635,0.711663,-75.9456,8399.8,90.9084,26472.5,35112.2,-1.72135,2.82064,2.00049,3.47456,1.18987,0.742345,8506.32,98.7989,26579,0.293604,0.980079,0.00680087,28972.1 
14,44.683,0.34,0.01,0.64,3,14,34522.8,-0.0162765,50.664,15.3572,80.5958,0.0873275,-225.703,500,2.85005,1.36697,0.82852,-1.70878,-0.678934,-21.5608,912.289,4.96214,34998.2,25969.9,2.98581,1.50274,1.10005,-1.57301,-0.543171,0.683204,942.53,7.20223,35028.4,0.033765,0.986804,0.000378614,27914.4 
15,44.843,0.34,0.01,0.64,3,15,31384.2,-0.281109,52.4385,13.6081,80.8066,-0.486999,513.242,171.255,-2.28048,-0.813931,2.67844,-1.41938,-1.5293,-71.133,10232.3,89.0583,22351.2,31366.4,-1.83257,-0.366025,3.57426,-0.971478,-1.08139,6.2779,10332,96.4487,22451,0.374088,0.983926,0.0078515,27619.3 
16,45.003,0.34,0.01,0.64,3,16,32049.9,-0.0303875,46.8263,15.3981,80.4399,0.0164788,-81.6632,239.408,0.791978,1.86295,5.21778,0.850487,0.028189,-24.3125,367.747,-65.508,32916.9,23515.8,0.945067,2.01604,5.52396,1.00358,0.181278,0.428748,401.847,-62.9821,32951,0.0155911,1.37794,-0.00353341,25774.1 
17,44.743,0.34,0.01,0.64,3,17,33311.6,-0.0373894,50.2222,14.9935,80.5057,-0.304367,423.054,0.000253653,0.698801,1.08862,4.41181,0.310943,-0.671493,-30.7465,1505.86,-16.2099,33072.9,28704.5,0.892403,1.28222,4.79902,0.504545,-0.47789,0.314455,1548.98,-13.0155,33116,0.0572673,1.01492,-0.000724523,27048.3 
