cyc,freq (MHz),wiggle time pre,pulse time,wiggle time post,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
100,44.923,0.46,0.01,0.52,3,100,32919.8,-0.360379,50.3799,15.0047,80.9364,0.0421329,-239.572,49.3576,-1.48757,1.05535,3.73569,1.68171,0.677651,-60.1915,176.213,-63.5314,34362,24936.8,-1.10856,1.43436,4.49371,2.06072,1.05666,0.43382,260.638,-57.2778,34446.4,0.00973096,1.62491,-0.00307248,26784.4 
101,44.783,0.46,0.01,0.52,3,101,33156.1,-0.134095,52.1484,14.3788,81.1052,-0.0404021,61.1864,500,0.861045,-1.809,3.35528,-0.489253,-0.580004,-77.7062,5772.61,2.38452,28708.3,24490,1.35034,-1.3197,4.33388,4.29015e-05,-0.0907089,-0.0140454,5881.6,10.4579,28817.3,0.209526,0.996898,0.000668059,28070.9 
102,44.863,0.46,0.01,0.52,3,102,33677.7,-0.275756,52.87,14.4279,81.0148,0.0206349,-14.3843,29.0477,2.14167,-0.769046,1.17461,-1.35299,1.40269,-109.87,10659,14.0852,24201.4,24841.4,2.83349,-0.0772233,2.55826,-0.661168,2.09452,0.62088,10813.1,25.5002,24355.5,0.365718,0.99589,0.00192498,29566.9 
103,44.813,0.46,0.01,0.52,3,103,30872.7,-0.0542431,49.9507,13.9306,81.3959,-0.0568129,3.6955,500,-3.31783,-0.0182872,2.75661,-3.16249,0.848971,-93.947,12838.5,56.9823,19182.4,22658.9,-2.72627,0.573272,3.93973,-2.57093,1.44053,-5.00261,12970.3,66.743,19314.2,0.465849,0.991075,0.0063254,27842.2 
104,44.883,0.46,0.01,0.52,3,104,32211.9,-0.280267,50.2488,14.557,81.0472,-0.32968,1033.92,358.876,-1.30103,0.169521,2.17084,-0.729194,1.54972,-74.3287,4292.52,-6.18942,29065.3,34908.2,-0.833006,0.637549,3.10689,-0.261166,2.01775,0.33443,4396.78,1.53304,29169.5,0.163709,0.99939,9.68045e-05,26857.3 
105,44.793,0.46,0.01,0.52,3,105,31579.7,-0.082665,49.8135,14.31,80.8673,-0.242061,307.047,500,1.40283,-0.764078,-1.9408,-1.04378,0.371271,-103.242,7994.08,12.6433,24923.8,25624.5,2.05292,-0.113991,-0.640621,-0.39369,1.02136,1.33262,8138.88,23.3697,25068.6,0.296588,0.995,0.00171432,27441.7 
106,44.763,0.46,0.01,0.52,3,106,33642.9,-0.324218,50.7371,15.1278,80.7956,-0.614662,-155.491,19.1681,2.40696,0.118382,-1.7602,1.30856,1.07599,-76.9891,2081.83,1.94467,32875.6,28097.3,2.89174,0.603162,-0.790637,1.79334,1.56077,1.1305,2189.82,9.94354,32983.6,0.0793781,0.992116,0.000555029,27587.2 
107,44.903,0.46,0.01,0.52,3,107,32439.9,-0.0290115,49.2473,14.8552,81.0112,-0.0218912,121.767,499.835,1.24269,0.662903,-2.7501,-2.19866,1.64487,-87.7498,1043.69,-65.6004,32846.5,23902,1.79522,1.21544,-1.64502,-1.64612,2.19741,1.85816,1166.76,-56.4835,32969.6,0.0439404,1.09256,-0.00316589,26553.3 
108,44.663,0.46,0.01,0.52,3,108,33734.4,-0.339208,50.1633,15.3744,80.9277,-0.221134,627.212,4.28524,-1.65733,-0.0517683,2.93064,1.36795,1.17908,-88.3838,778.571,-90.8071,34280.7,29621.1,-1.1008,0.504761,4.0437,1.92448,1.73561,0.431086,902.538,-81.6243,34404.6,0.0329464,1.18803,-0.00438954,27394.1 
109,44.833,0.46,0.01,0.52,3,109,29738.1,-0.163427,49.1269,13.7503,81.3211,-0.189043,198.879,0.506567,-1.77582,1.80691,2.69279,-1.25512,0.162398,-115.043,14070.3,74.6318,16808.1,23214,-1.05142,2.5313,4.14158,-0.530719,0.886795,0.307142,14231.7,86.5844,16969.5,0.521342,0.989465,0.00931155,27298.2 
