cyc,freq,VVA,Charge Time,Wiggle Time,Pulse Time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,44.8,1.5,0.73,0.17,0.08,0,29003.3,-0.327275,47.9315,13.918,79.9033,0.309841,32.702,415.136,-0.214654,1.6113,-2.82733,-0.973393,-0.33162,32.0723,2135.51,-38.3127,28173.2,22046.4,-0.416604,1.40934,-3.23124,-1.17534,-0.53357,0.181429,2090.52,-41.6449,28128.2,0.0540785,1.03612,-0.00273477,38657.2 
1,44.803,1.5,0.73,0.17,0.08,1,30263.2,-0.066609,49.8514,13.7779,79.8243,0.00435639,89.6726,500,-0.293195,-1.66316,-1.57605,-1.03906,3.11312,3.35191,2249.32,-39.2564,29271.2,22371.8,-0.314301,-1.68427,-1.61826,-1.06016,3.09201,-0.0209983,2244.62,-39.6047,29266.5,0.0557102,1.03186,-0.00249905,40291.1 
2,44.806,1.5,0.73,0.17,0.08,2,29418.8,-0.0756399,48.1412,13.904,79.9191,-0.0353155,114.801,500,-0.675766,1.69033,-2.28575,-3.25042,-1.83528,-24.5455,2000.04,-36.0576,28809.7,21921.7,-0.52121,1.84489,-1.97663,-3.09586,-1.68073,0.635949,2034.46,-33.5075,28844.1,0.051464,1.02968,-0.00214452,39531.8 
3,44.809,1.5,0.73,0.17,0.08,3,27475.3,0.00929208,46.9943,13.2805,79.878,0.00280757,-6.42312,6.011e-12,0.159421,-1.46275,1.97724,-0.933829,1.74649,-22.7455,3143.58,-16.327,25646.9,20317.3,0.302644,-1.31953,2.26368,-0.790606,1.88971,0.0350495,3175.49,-13.9638,25678.8,0.0868618,1.00776,-0.00100272,36557.9 
4,44.812,1.5,0.73,0.17,0.08,4,26705.3,-0.0619189,47.7462,12.6992,80.0627,0.0135692,-6.56791,499.61,-2.30948,-1.21664,-0.889027,-2.90381,-1.40645,-20.2044,9077.45,115.88,18919.4,19741.3,-2.18226,-1.08942,-0.634583,-2.77659,-1.27922,0.920299,9105.79,117.979,18947.8,0.269898,0.977829,0.0113399,33737.9 
5,44.815,1.5,0.73,0.17,0.08,5,29181.1,-0.0395002,53.6205,12.3947,80.1408,-0.0300787,-21.2063,489.865,-0.761819,0.382486,-0.802626,-3.41572,2.06036,-19.8808,15543.9,182.506,14972.9,21656,-0.636635,0.50767,-0.552258,-3.29054,2.18555,0.690822,15571.8,184.572,15000.8,0.443985,0.979679,0.0221632,35072.8 
6,44.818,1.5,0.73,0.17,0.08,6,27809.3,-0.334062,52.1143,12.3139,80.2277,0.21809,-38.2937,339.614,3.54575,3.23657,1.46253,1.40066,0.828844,-58.9878,17456.7,227.691,11624,21162.3,3.91718,3.608,2.20539,1.77209,1.20027,0.826387,17539.4,233.819,11706.8,0.53542,0.977202,0.0354868,32758.2 
7,44.821,1.5,0.73,0.17,0.08,7,31002.8,0.00622028,55.545,12.5878,80.1376,-0.047371,93.8575,500,3.15436,3.39827,1.6775,3.07969,1.59413,-39.0695,14317.7,161.576,17819.8,22905.6,3.40037,3.64428,2.16952,3.3257,1.84014,0.849129,14372.5,165.636,17874.6,0.38215,0.980231,0.0167834,37609.5 
8,44.824,1.5,0.73,0.17,0.08,8,28723,-0.310741,50.0296,13.1751,79.9279,0.795592,-5336.12,4.56154,0.458395,0.360174,-0.966158,3.27669,1.22089,-44.239,7465.76,89.5911,22603.6,159658,0.736956,0.638735,-0.409035,3.55525,1.49945,1.06793,7527.81,94.1874,22665.6,0.203492,0.978573,0.00759675,36993.1 
9,44.827,1.5,0.73,0.17,0.08,9,27611.4,0.00223366,47.4769,13.2301,79.7404,-0.0068494,6.65777,0.00307431,2.83959,0.297388,0.39413,-0.424758,0.0211018,-46.5766,2496.86,-14.057,26435.4,20449.1,3.13287,0.590668,0.980691,-0.131478,0.314382,0.799332,2562.19,-9.21784,26500.8,0.0692237,1.00634,-0.000641156,37013.2 
