cyc,freq,VVA,Charge Time,Wiggle Time,Pulse Time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
90,44.8,1.5,0.49,0.41,0.08,90,26104.2,-0.327212,45.878,-13.1682,79.7241,0.228018,-136.543,107.574,-0.718211,0.652642,2.38652,-0.828503,2.23407,-12.5447,803.444,-52.8675,26699.6,20679.9,-0.63922,0.731633,2.5445,-0.749512,2.31306,0.394233,821.039,-51.5642,26717.2,0.0230931,1.12348,-0.00356795,35553.4 
91,44.803,1.5,0.49,0.41,0.08,91,28234.6,-0.378303,46.8445,14.008,79.5656,-0.115865,187.864,246.762,1.62721,0.144166,0.0815347,1.10886,5.3033,-34.1613,610.884,-69.3813,28938.4,22070,1.84232,0.359271,0.511744,1.32396,5.51841,0.946446,658.798,-65.8321,28986.3,0.0171826,1.21194,-0.00420127,38340.9 
92,44.806,1.5,0.49,0.41,0.08,92,28078.5,-0.372985,47.35,13.7741,79.774,0.381125,2179.77,457.164,2.21731,-0.35383,-0.563533,1.3408,0.499375,6.24026,527.642,-62.4012,28983.9,48275.5,2.17802,-0.393123,-0.64212,1.3015,0.460082,1.22109,518.89,-63.0495,28975.1,0.0135883,1.27007,-0.00402453,38186.5 
93,44.809,1.5,0.49,0.41,0.08,93,27981.9,-0.0286156,47.4992,13.4539,79.8305,-0.00591276,47.5701,500,0.338542,-2.28278,-2.13223,0.752212,-0.717832,16.6596,839.383,-51.2081,28513.7,20812.4,0.233641,-2.38768,-2.34203,0.647311,-0.822733,0.498654,816.016,-52.939,28490.3,0.0215572,1.12807,-0.00343464,37853.5 
94,44.812,1.5,0.49,0.41,0.08,94,28062,-0.316877,48.3472,13.5389,79.9138,1.16419,-8364.04,13.7268,0.977055,-1.37473,1.74298,0.706767,-1.88933,7.78573,2761.5,-0.661281,26809.3,338291,0.92803,-1.42376,1.64493,0.657742,-1.93835,13.5179,2750.58,-1.47019,26798.4,0.073176,1.00094,-0.00010107,37588.5 
95,44.815,1.5,0.49,0.41,0.08,95,25022.6,-0.323137,44.8612,-12.9326,79.8831,0.534103,-263.598,44.3017,1.03368,1.41163,0.889478,-0.440665,2.05123,-58.4385,2270.97,-25.8155,24114.3,23469.6,1.40165,1.7796,1.62542,-0.0726938,2.4192,0.772769,2352.94,-19.744,24196.3,0.0695969,1.0149,-0.00150541,33808.1 
96,44.818,1.5,0.49,0.41,0.08,96,28048.4,-0.000672538,47.0831,13.5598,79.9151,-0.0109556,11.3392,2.35802e-11,2.28133,-0.994403,3.03184,0.307509,2.21869,25.5437,1265.6,-48.558,28111.7,20787.3,2.12049,-1.15524,2.71016,0.146667,2.05785,0.539083,1229.77,-51.2119,28075.9,0.0325952,1.0786,-0.00337142,37728.5 
97,44.821,1.5,0.49,0.41,0.08,97,23952.4,-0.0773433,42.7098,12.8471,79.9526,0.0456055,-16.9562,494.765,-0.308762,-0.600555,3.0642,-0.94123,1.62933,13.2192,1709.89,-24.4675,23563.8,17887,-0.391999,-0.683792,2.89773,-1.02447,1.54609,-0.236463,1691.35,-25.841,23545.3,0.0523635,1.02747,-0.00202581,32300.2 
98,44.824,1.5,0.49,0.41,0.08,98,29003.6,-0.188229,50.8018,13.0216,79.8435,0.175124,13.4848,0.00496752,3.06641,1.40288,-0.236383,-0.468908,2.02297,-37.4559,6257.6,83.6248,24057.8,21611.5,3.30226,1.63873,0.235317,-0.233058,2.25882,0.967327,6310.14,87.5163,24110.3,0.167584,0.976304,0.0066421,37653.6 
99,44.827,1.5,0.49,0.41,0.08,99,27370.4,-0.308696,50.3385,12.506,80.0875,0.143812,1231.05,466.731,0.460292,0.768779,-0.209466,-0.180806,-2.58015,-41.8714,13828.7,199.202,14811.1,26256.6,0.723945,1.03243,0.31784,0.0828466,-2.3165,2.99349,13887.4,203.552,14869.8,0.418066,0.974991,0.0245962,33218.2 
