cyc,freq,VVA,Charge Time,Wiggle Time,Pulse Time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
30,44.8,1.5,0.65,0.25,0.08,30,26121.2,0.000519765,44.9525,13.2799,79.8385,-0.0126707,-34.9506,500,1.12025,-3.02659,1.6418,1.75513,0.342782,14.9113,628.585,-49.6509,26954.4,19447.6,1.02635,-3.12048,1.45402,1.66123,0.24889,-0.144887,607.67,-51.2002,26933.5,0.0170592,1.17295,-0.00351412,35621.2 
31,44.803,1.5,0.65,0.25,0.08,31,27656.6,-0.0264899,46.4758,13.5528,79.7243,-0.0269216,8.25097,499.959,-0.181324,1.24483,-1.87461,-1.58491,-0.27155,12.8248,417.783,-72.346,28649.8,20511.8,-0.262078,1.16407,-2.03612,-1.66566,-0.352305,0.354041,399.795,-73.6785,28631.8,0.0106269,1.47603,-0.00476288,37621.2 
32,44.806,1.5,0.65,0.25,0.08,32,27104.2,-0.338642,46.1911,13.5772,79.7359,-0.0549922,50.3066,432.374,-1.35345,0.453422,0.788507,-1.11245,0.61187,-41.831,526.704,-49.8665,27965.5,20505.8,-1.09005,0.71682,1.3153,-0.849047,0.875269,-0.358373,585.377,-45.5204,28024.2,0.0158138,1.15752,-0.00300116,37016.8 
33,44.809,1.5,0.65,0.25,0.08,33,25431.8,-0.223986,44.6038,-13.1102,79.8016,0.143138,-390.423,500,0.521076,1.00771,-2.51129,0.732379,-0.0316117,21.1109,1662.65,-27.9351,25198,20855.2,0.388146,0.874779,-2.77715,0.599449,-0.164541,-1.57307,1633.04,-30.1284,25168.4,0.0475385,1.03336,-0.00221001,34352 
34,44.812,1.5,0.65,0.25,0.08,34,25207.9,-0.291486,44.8116,-12.9792,80.096,0.300355,-127.269,4.65643e-09,0.214785,-0.101704,-0.846775,1.96631,0.364725,-13.7931,2723.92,-30.6782,23905.3,20178,0.301637,-0.0148523,-0.673072,2.05316,0.451576,1.31772,2743.26,-29.2452,23924.7,0.0810528,1.01901,-0.00225684,33845.4 
35,44.815,1.5,0.65,0.25,0.08,35,27691.8,-0.251494,47.0526,13.4768,79.95,0.224202,-99.8361,0.0301508,-1.1059,-2.28689,1.23066,0.431522,0.154819,-34.4438,2644.71,-40.4004,26230.8,21371.3,-0.889019,-2.07001,1.66443,0.648405,0.371702,7.06363,2693.02,-36.8218,26279.1,0.073069,1.02451,-0.0025878,36855.9 
36,44.818,1.5,0.65,0.25,0.08,36,26566.3,0.0633416,46.1127,13.0436,79.829,-0.022953,-23.1954,2.79213e-06,0.895463,0.447067,3.07985,2.02733,4.49521,-28.6482,1716.51,-48.4442,26150.5,19597.4,1.07585,0.627457,3.44063,2.20772,4.6756,0.713931,1756.69,-45.4678,26190.7,0.0490632,1.04744,-0.0032082,35804.6 
37,44.821,1.5,0.65,0.25,0.08,37,29081.9,-0.0013567,49.7599,13.2451,79.8205,-0.0122224,11.2348,3.8001e-11,1.98406,0.694952,6.6965,-1.37216,0.670169,-56.2872,4536.3,22.5035,25856,21459.5,2.33849,1.04938,7.40535,-1.01774,1.02459,0.314324,4615.25,28.3516,25934.9,0.120406,0.989364,0.00200971,38330.6 
38,44.824,1.5,0.65,0.25,0.08,38,26576.7,-0.173853,49.2986,12.3313,80.0801,0.0343042,417.26,4.79785e-05,1.02655,-1.80652,4.17236,-3.70976,-0.528381,-38.7705,9692.13,106.073,18182.2,20255.7,1.27068,-1.56239,4.66062,-3.46563,-0.284254,-6.52902,9746.5,110.101,18236.6,0.29134,0.980614,0.0109991,33454 
39,44.827,1.5,0.65,0.25,0.08,39,29012,-0.0440009,52.4048,12.6027,80.1303,-0.0436328,12.5557,500,3.99297,2.00766,4.86483,0.561943,3.09761,-61.7823,15193.4,193.32,15033.1,21517.4,4.382,2.39669,5.64288,0.95097,3.48664,0.665293,15280,199.739,15119.8,0.437375,0.977636,0.0237569,34935.8 
40,44.83,1.5,0.65,0.25,0.08,40,29126.5,-0.0359065,52.7629,12.5074,80.1457,-0.0503801,94.709,500,0.276419,2.04011,1.04198,-2.64468,-0.0502715,-57.0225,17416.1,273.744,12749.2,21638.1,0.635475,2.39917,1.76009,-2.28562,0.308784,0.375388,17496.1,279.669,12829.2,0.51197,0.972788,0.0386065,34174 
41,44.833,1.5,0.65,0.25,0.08,41,28784.8,-0.136523,52.995,12.3768,79.9756,0.107126,290.262,0.0169132,3.85598,0.745106,0.298616,-0.975864,-0.197489,-86.0545,14280.5,165.613,15765.6,22364.1,4.39784,1.28697,1.38234,-0.434001,0.344373,0.801887,14401.2,174.553,15886.3,0.410835,0.979229,0.0198389,35053.4 
42,44.836,1.5,0.65,0.25,0.08,42,27655.1,-0.32652,49.5599,12.8681,80.0395,0.184936,242.989,228.049,2.70579,-0.285827,1.36257,-2.2389,0.827872,-97.9067,5642.99,40.9071,23515.6,22223.4,3.32228,0.330665,2.59555,-1.62241,1.44436,0.572428,5780.31,51.0792,23652.9,0.158239,0.984771,0.00396232,36529.1 
43,44.839,1.5,0.65,0.25,0.08,43,27731.6,-0.107764,48.1395,13.1301,79.8338,-0.0401157,-52.9353,500,1.17431,1.86297,3.02604,1.05746,-3.33739,-1.39548,2689.96,-6.69269,26474.6,20645.3,1.1831,1.87176,3.04361,1.06625,-3.32861,0.206589,2691.92,-6.54771,26476.6,0.072536,1.00427,-0.000455764,37111.5 
44,44.842,1.5,0.65,0.25,0.08,44,27999.3,-0.0134979,48.3595,13.2411,80.1176,0.0103881,-1.45451,500,0.657898,1.70323,-0.599289,-1.2593,0.664254,-23.863,1985.78,-6.97294,27534.5,20845.5,0.808157,1.85349,-0.298772,-1.10904,0.814513,1.14445,2019.26,-4.49367,27568,0.0533382,1.00391,-0.00030036,37857.6 
