,index,time,pulse_length,B,e_B,A,x0,sigma,C,e_A,e_x0,e_sigma,e_C
0,0,210.0,80.0,202.10490978939023,0.0006859813158257566,0.4860005651199963,44.8175044687595,0.011832214494343176,0.036692639213749795,0.011295135241120418,0.00010715462701189793,0.0002834713831868023,0.004923764098592447
1,1,250.0,80.0,202.18109104279083,0.0012640970420250142,0.4981946710761699,44.82940311656751,0.012108887195054707,0.03565139715077871,0.020812352275115905,0.00019741470362842268,0.0005288399384724518,0.009228336746650634
2,2,290.0,80.0,202.1803465609449,0.0011835084656297568,0.47777737313323865,44.829286850093716,0.012100118101058615,0.036873525133261364,0.01870607945770893,0.0001848295780283712,0.000494041712787189,0.00827532268516634
3,3,330.0,80.0,202.11405121591983,0.001010140703755269,0.4434532938786694,44.818932399390874,0.012293747366420131,0.05390854431938085,0.014656480576861924,0.00015778597550842336,0.0004250936724046346,0.006695424222426775
4,4,370.0,80.0,202.09739690165716,0.00083545181044542,0.5063591512385579,44.816330893683556,0.011666672163232162,0.030210483347321532,0.014543244498317976,0.00013050577508510618,0.00034012344067461904,0.0061755420930684505
5,5,410.0,80.0,202.1726662707284,0.001240156427599004,0.4591032681495148,44.82808739635036,0.012460769364446596,0.04119036580832203,0.01839881125534179,0.00019368078369869204,0.000514078737652079,0.008253225116162971
6,6,450.0,80.0,202.18965947823256,0.000877625641095392,0.5335487916046859,44.830741239013804,0.011569623532424222,0.03343938138370983,0.015605343504160178,0.00013705581971270507,0.0003674824091277683,0.006112709642173488
