cyc,freq,VVA,Charge Time,Wiggle Time,Pulse Time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
15,44.8,1.5,0.69,0.21,0.08,15,26527.2,-0.333496,45.9309,13.3686,79.8919,-0.00745623,114.392,497.238,1.83669,1.36991,-2.58987,0.815486,1.26271,-15.3314,617.658,-65.8685,27352.2,20016.5,1.93323,1.46645,-2.39679,0.912024,1.35925,1.73203,639.162,-64.2756,27373.7,0.0176442,1.21357,-0.0043442,36224.9 
16,44.803,1.5,0.69,0.21,0.08,16,26795.3,-0.0770835,45.2935,13.5571,79.8644,0.0289562,34.0788,500,-1.73838,-0.396732,1.28245,0.676743,-0.0254017,25.9064,411.787,-78.8808,27710.7,20021.4,-1.9015,-0.559858,0.956198,0.513618,-0.188528,1.81029,375.451,-81.5724,27674.3,0.0103282,1.61346,-0.0054594,36352.1 
17,44.806,1.5,0.69,0.21,0.08,17,27665.1,-0.0434248,46.3379,13.5957,79.8451,0.00392283,33.9904,500,-0.357502,0.548542,-1.58083,-0.329571,0.485477,-35.6747,574.589,-72.1393,28401.3,20512.8,-0.132868,0.773176,-1.13157,-0.104937,0.710111,10.9333,624.626,-68.4328,28451.4,0.0166074,1.23721,-0.00445046,37611.4 
18,44.809,1.5,0.69,0.21,0.08,18,29023.8,-0.354571,49.028,13.6789,79.8441,0.660571,1083.29,30.7455,0.345868,1.76933,-2.4946,-0.0141646,1.07056,-4.91635,1437.8,-41.3651,28974.7,45126.6,0.376825,1.80029,-2.43269,0.0167923,1.10152,3.81975,1444.69,-40.8543,28981.6,0.0369291,1.05206,-0.00260351,39120.8 
19,44.812,1.5,0.69,0.21,0.08,19,29511.7,-0.0776619,49.3131,13.6329,79.7647,-0.0113691,111.817,500,-0.385938,1.96936,-1.51551,-0.511959,2.49439,-14.9086,3247.49,2.92573,27553.1,21926.4,-0.292062,2.06323,-1.32775,-0.418083,2.58827,1.50802,3268.4,4.47468,27574,0.0835595,0.99761,0.000298845,39114.7 
20,44.815,1.5,0.69,0.21,0.08,20,30303.3,-0.345768,50.4272,13.8307,79.7223,-0.23843,492.95,257.216,2.33662,0.883533,2.49573,0.5293,2.90854,29.9411,3435.99,-13.3406,28032.4,26530.3,2.14809,0.695002,2.11867,0.340769,2.72,0.73591,3394,-16.4514,27990.4,0.0853158,1.00856,-0.00108387,39781.6 
21,44.818,1.5,0.69,0.21,0.08,21,26705.8,-0.329155,45.9911,13.4247,79.9721,0.105165,304.735,456.973,1.29546,0.355045,2.04875,-1.5099,1.251,-40.334,1435.14,-42.1581,26645.5,21142.2,1.54943,0.609017,2.55669,-1.25593,1.50497,0.484973,1491.71,-37.9676,26702.1,0.0412024,1.04662,-0.00262616,36204.4 
22,44.821,1.5,0.69,0.21,0.08,22,28328,-0.321703,48.5309,13.434,79.7925,-1.18363,1045.14,226.776,0.864453,2.08877,-0.831491,-2.3935,-0.170517,-28.352,2921.16,-9.44293,26626.3,61493.7,1.04298,2.2673,-0.474441,-2.21498,0.00800763,1.75444,2960.93,-6.49727,26666.1,0.0786921,1.00385,-0.000449036,37626.8 
23,44.824,1.5,0.69,0.21,0.08,23,27405.2,-0.290076,50.6708,12.3972,80.1346,0.00401546,710.142,460.791,0.401239,-0.197861,1.47883,-2.45308,1.80465,-40.7654,9870.99,94.7226,18808.4,20542.1,0.657927,0.0588274,1.99221,-2.19639,2.06133,0.225999,9928.17,98.958,18865.6,0.288162,0.982856,0.00957014,34453.4 
24,44.827,1.5,0.69,0.21,0.08,24,30459,-0.347659,55.5394,12.6223,80.1183,-0.71343,2823.44,280.863,3.64812,0.743537,-0.161705,-1.742,2.54048,-13.4059,17765.2,234.299,13891,88394.1,3.73253,0.82795,0.00712165,-1.65759,2.62489,0.998713,17784,235.691,13909.8,0.495834,0.977333,0.0302683,35866.8 
