,Pulse Time (us),Modulation Freq (kHz),Phase Shift A-f0 (rad),Phase Shift A-f0 err (rad),Phase Shift f0-B (rad),Phase Shift f0-B err (rad),Phase Shift C-B (rad),Phase Shift C-B err (rad),Dropped Wiggle Times (ms),
2025-09-24_E,20,6,0.945495401,0.33222416,-0.071890877,0.026605758,0.873604532,0.332571003,[],
2025-10-01_L,20,10,1.8,0.585473115,0.190299019,0.048778518,0.066722154,0.63425162,0.182173265,[0.29]
