,Pulse Time (us),Modulation Freq (kHz),Modulation Amp (Vpp),Phase Shift A-f0 (rad),Phase Shift A-f0 err (rad),Phase Shift f0-B (rad),Phase Shift f0-B err (rad),Phase Shift C-B (rad),Phase Shift C-B err (rad),Dropped Wiggle Times (ms)
2025-09-24_E,20,6,1.8,0.945495401,0.33222416,-0.071890877,0.026605758,0.873604532,0.332571003,[0.29]
2025-10-01_L,20,10,1.8,0.585473089,0.190299027,0.283867789,0.064872636,0.869340874,0.181504032,[0.29]
