Bfield,EF,ToTF,trf,detuning,slope,e_slope,OmegaR2_sat,e_OmegaR2_sat,alpha_max,e_alpha_max,C,e_C,C_harmonic,C_uniform,C_corrfactor,fudgedC,e_fudgedC
202.24,14710,0.47,2e-05,"0     47.3897
1     47.3897
2     47.3897
3     47.3897
4     47.3897
6     47.3897
7     47.3897
8     47.3897
9     47.3897
10    47.3897
12    47.3897
13    47.3897
14    47.3897
15    47.3897
16    47.3897
18    47.3897
19    47.3897
20    47.3897
21    47.3897
22    47.3897
24    47.3897
25    47.3897
26    47.3897
27    47.3897
28    47.3897
30    47.3897
31    47.3897
32    47.3897
33    47.3897
34    47.3897
Name: freq, dtype: float64",4.778354382991013e-13,4.665075757961803e-14,165990969877.75043,57440155364.04577,0.0793163678452278,0.020028078106469036,0.6389305392986114,0.062378365667338134,1.2862846834617152,2.5569005085811125,1.0,0.6389305392986114,0.062378365667338134
202.14,14710,0.47,2e-05,"0     47.3727
1     47.3727
2     47.3727
3     47.3727
5     47.3727
6     47.3727
7     47.3727
8     47.3727
9     47.3727
11    47.3727
12    47.3727
13    47.3727
14    47.3727
15    47.3727
17    47.3727
18    47.3727
19    47.3727
20    47.3727
21    47.3727
23    47.3727
24    47.3727
25    47.3727
26    47.3727
27    47.3727
29    47.3727
30    47.3727
31    47.3727
32    47.3727
33    47.3727
Name: freq, dtype: float64",5.388775294314885e-13,1.0040677289996368e-13,259458781231.07336,272762275760.20837,0.13981650701910586,0.12226142171533146,0.7205520622772358,0.13425742089486975,1.2862846834617152,2.5569005085811125,1.0,0.7205520622772358,0.13425742089486975
202.04,14710,0.47,2e-05,"0     47.3557
1     47.3557
3     47.3557
4     47.3557
5     47.3557
6     47.3557
7     47.3557
9     47.3557
10    47.3557
11    47.3557
12    47.3557
13    47.3557
15    47.3557
16    47.3557
17    47.3557
18    47.3557
19    47.3557
21    47.3557
22    47.3557
23    47.3557
24    47.3557
25    47.3557
27    47.3557
28    47.3557
29    47.3557
30    47.3557
31    47.3557
33    47.3557
34    47.3557
Name: freq, dtype: float64",7.109684836703134e-13,6.927054143976816e-14,233015287330.2761,108545460758.53142,0.16566652550520877,0.06187715602445319,0.9506609185638623,0.09262407275015443,1.2862846834617152,2.5569005085811125,1.0,0.9506609185638623,0.09262407275015443
