cyc,waittime,wiggletime,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ff
45,0.84,0.13,44.7,45,42878.3,-0.157804,76.9295,12.8839,73.5864,0.152777,-27.0812,500,0.35073,0.534108,-2.65349,-3.31094,-4.23453,-14.7964,1179.44,-110.973,43794.8,32400,0.443899,0.627277,-2.46716,-3.21777,-4.14136,0.718204,1200.19,-109.436,43815.6,0.0277416,1.18987,-0.0046222,43263.1,0.96 
46,0.84,0.13,44.94,46,40273.4,-0.511335,74.0584,12.75,73.7092,0.662169,438.953,0.752467,-2.54906,-2.06731,2.7484,-1.39117,0.562687,-46.5521,385.77,-108.239,42132.9,40200.4,-2.25593,-1.77419,3.33465,-1.09805,0.855813,4.55618,451.064,-103.403,42198.2,0.0110119,1.66993,-0.00453437,40961.3,0.96 
47,0.84,0.13,44.9,47,41451,-0.156896,75.8784,12.6575,73.8029,-0.179985,-34.0756,1.75164,-1.49494,-2.84406,0.904696,-2.98031,0.338849,-65.1964,3513.57,-56.1351,40337,31464.8,-1.08441,-2.43354,1.72575,-2.56979,0.749373,1.4777,3605.01,-49.3615,40428.4,0.0849912,1.02455,-0.0022542,42416.3,0.96 
48,0.84,0.13,44.92,48,43090.8,-0.0983234,75.9215,13.1149,73.497,0.0100134,50.7895,500,-2.94308,-2.88568,-1.21274,-0.180856,0.106196,24.2384,1084.65,-106.505,44072.6,32429.9,-3.0957,-3.0383,-1.51799,-0.333479,-0.0464263,0.811005,1050.65,-109.023,44038.6,0.0242489,1.22189,-0.00458126,43327.7,0.96 
49,0.84,0.13,44.84,49,45603.3,-0.0366947,86.1556,12.1169,73.8585,0.00946419,-13.8173,4.7605e-10,-1.59224,-3.13323,1.05781,-2.61534,-3.16397,68.5139,16010.5,149.772,31761.6,33988,-2.02365,-3.56464,0.19498,-3.04676,-3.59538,1.0162,15914.4,142.653,31665.5,0.343625,0.984556,0.00823041,46313.2,0.96 
50,0.84,0.13,44.86,50,43802.5,-0.131162,83.7632,12.0064,73.7342,-0.0723514,36.0389,6.21901e-05,-2.37861,-4.40911,-0.290878,-1.59628,-0.724687,-29.1468,13110.3,147.333,32827.2,32823.5,-2.19508,-4.22558,0.0761812,-1.41275,-0.541158,1.00918,13151.2,150.361,32868.1,0.294181,0.980384,0.00835664,44704.6,0.96 
51,0.84,0.13,44.78,51,42179.6,-0.0393018,76.3534,12.6611,73.7755,-0.00157713,-9.07389,500,-3.54115,-0.627786,-2.89732,0.3355,0.788159,18.4871,3996.22,-56.8934,40253.7,31470.5,-3.65756,-0.744194,-3.13014,0.219091,0.671751,0.528668,3970.29,-58.8142,40227.8,0.0932234,1.02661,-0.00270049,42588.9,0.96 
52,0.84,0.13,44.88,52,43386.4,-0.223237,81.7013,12.2196,73.8295,-0.272516,102.187,498.95,-0.680896,-4.64952,-2.05431,-4.00895,1.55717,14.401,9072.17,29.7396,36508.4,33406.3,-0.771576,-4.7402,-2.23567,-4.09963,1.46649,0.78463,9051.97,28.2434,36488.2,0.20535,0.994569,0.00142384,44080.6,0.96 
53,0.84,0.13,44.76,53,40921.9,-0.599562,73.6703,12.9886,73.7039,0.123221,423.339,169.415,-2.3459,-2.30851,-1.22986,-3.25417,-2.2767,-60.1896,1153.12,-118.049,41800.8,32847.6,-1.9669,-1.92951,-0.471863,-2.87517,-1.8977,0.94838,1237.54,-111.796,41885.3,0.0298581,1.18778,-0.00494106,41447.4,0.96 
54,0.84,0.13,44.72,54,42815,-0.307095,76.747,12.9707,73.6507,0.421689,-62.5899,0.00075395,0.461172,-3.55553,-2.05058,0.210807,-2.2679,-66.4798,836.344,-114.52,44090.3,33264.9,0.879778,-3.13692,-1.21337,0.629412,-1.84929,0.741308,929.588,-107.613,44183.6,0.0214459,1.25406,-0.00450685,43345.8,0.96 
55,0.84,0.13,44.82,55,45862.3,-0.00745655,85.5472,12.2179,74.0338,-0.000326184,-38.5538,2.2607e-10,-1.86103,1.22877,3.11968,-3.03183,0.846522,25.9268,13754,124.288,34149.9,34025.5,-2.02429,1.06552,2.79317,-3.19508,0.683267,5.12327,13717.7,121.594,34113.5,0.295215,0.984725,0.00652318,46466.7,0.96 
56,0.84,0.13,44.74,56,42275,-0.0354067,75.2667,12.9385,73.8266,0.0215803,-8.192,500,-1.04844,-1.92453,-6.14465,-2.46012,-0.756719,20.4262,136.857,-123.671,44328.7,31707.4,-1.17706,-2.05314,-6.40189,-2.58874,-0.885338,0.511536,108.207,-125.793,44300,0.00253792,-0.966736,-0.00525829,42636.3,0.96 
57,0.84,0.13,44.81,57,44736.2,-0.0400144,82.9851,12.339,73.8213,0.00982247,-8.40963,1.13711e-10,-1.23107,3.10916,0.28314,-1.11618,-0.148573,78.8896,10822.3,89.9979,36065.6,33335.9,-1.72781,2.61242,-0.710353,-1.61293,-0.645319,0.659139,10711.7,81.8016,35955,0.236835,0.986812,0.0041735,45228.4,0.96 
58,0.84,0.13,44.83,58,46878.9,-0.079284,88.3087,12.1008,74.136,0.00308283,38.9305,499.996,0.277689,0.815999,-0.0838273,2.12956,0.532564,0.00949958,16267.1,134.445,32644.4,34790.7,0.277629,0.81594,-0.0839469,2.1295,0.532504,1.02286,16267.1,134.444,32644.3,0.341706,0.985743,0.00752949,47605.7,0.96 
