,index,time,pulse_length,B,e_B,A,x0,sigma,e_A,e_x0,e_sigma
0,0,5100.0,10000.0,202.04985211700136,0.004669141367543261,0.33216958593188595,44.80890339289128,0.10300611961238763,0.00455199934197976,0.0007294655024882748,0.001824171893413509
1,1,5110.0,10000.0,202.05690191974554,0.005108811284259218,0.3337447354159201,44.810004788017906,0.09981767845140754,0.0051171118262469395,0.0007981382601381882,0.0019889592162550367
2,2,5120.0,10000.0,202.1690846785226,0.0037190996763456496,0.33681240798776596,44.82752803901183,0.10175531542833288,0.0036222614463878263,0.00058083253149289,0.0014340506105023746
3,3,5130.0,10000.0,202.25158445689445,0.0052225073764020635,0.3415600237929139,44.84041096812438,0.10074240748635827,0.005400172983251851,0.0008154245783911693,0.0020548712383044528
4,4,5140.0,10000.0,202.16778362771984,0.004892296527145845,0.33416222235365617,44.82732484512535,0.10246503728306659,0.004509217856559966,0.0007640588611032545,0.0017524445261752001
5,5,5150.0,10000.0,202.04836890436556,0.00495478099412594,0.3374824352000781,44.80867166668193,0.10298599396838487,0.005536783335051458,0.0007740944314225206,0.0019424686913765024
6,6,5200.0,10000.0,202.04775741681368,0.004957444861304339,0.33594587119550623,44.80857613207416,0.10028664731878789,0.005682402906776091,0.0007745120293678559,0.0019437473475308628
7,7,5210.0,10000.0,202.05958763574588,0.004939216049820061,0.33667399731148845,44.81042437299814,0.10038149723435238,0.005495389857584904,0.0007716367554988898,0.0018993582037324485
8,8,5220.0,10000.0,202.16860600724772,0.0038205804065114535,0.34120763860037734,44.82745328177974,0.09974051818475152,0.0038269120117476246,0.0005966821083979131,0.0012777248636072036
9,9,5230.0,10000.0,202.24961011938848,0.004835382806390953,0.3365834813676276,44.84010269844155,0.10215051577950043,0.0048374133026736115,0.0007549851677280435,0.0018905038802897788
10,10,5240.0,10000.0,202.21136953574063,0.20385566356154072,0.3230495482698253,44.83413151920208,0.09357317347855038,0.043361835437277466,0.03182369428138098,0.04170713692438374
