cyc,waittime,wiggletime,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ff
101,0.77,0.21,44.7,101,39773.3,-0.0295681,72.8871,12.6031,73.6766,-0.000562169,-11.6861,500,-2.14019,-0.183798,-6.27602,-3.73672,-3.98826,-0.964225,601.749,-90.0164,41331.5,29903.8,-2.13412,-0.177726,-6.26388,-3.73064,-3.98219,0.615443,603.102,-89.9163,41332.9,0.0149717,1.35301,-0.00402347,40282.7,0.96 
102,0.76,0.21,44.94,102,42411.4,-0.0291973,75.2424,12.9678,73.5801,-0.0136935,-13.2222,500,-1.63188,-1.97703,1.8198,-1.45922,-0.745498,23.1786,1242.47,-85.7913,43063.8,31769,-1.77783,-2.12297,1.5279,-1.60517,-0.891448,1.31377,1209.96,-88.1994,43031.3,0.0284562,1.14622,-0.00378999,42520,0.96 
103,0.76,0.21,44.9,103,42749.3,-0.282963,77.0359,12.9429,73.6463,0.177779,71.6129,0.111819,-1.5099,-2.50687,-0.678571,1.00553,1.92721,13.7052,301.915,-100.816,44548.7,32872.2,-1.5962,-2.59316,-0.851167,0.919237,1.84092,0.626743,282.692,-102.24,44529.5,0.00656949,2.72415,-0.00424743,43031,0.96 
104,0.76,0.21,44.92,104,40370.3,-0.0428152,72.9539,12.7928,73.5937,0.0208774,8.34439,500,-0.541107,-1.8539,-0.997552,-0.931045,-1.08321,-71.7313,664.654,-121.03,41788,30387.1,-0.089434,-1.40223,-0.0942064,-0.479372,-0.631533,0.965067,765.265,-113.577,41888.6,0.0186749,1.35085,-0.00501979,40978.3,0.96 
105,0.76,0.21,44.84,105,44314.4,-0.0637554,83.1812,12.23,73.9204,-0.157228,3.77375,499.999,0.720248,-0.748777,1.18228,1.72817,2.03531,29.7816,11089.6,75.2197,35462.3,33136.1,0.532721,-0.936304,0.807223,1.54064,1.84779,0.787129,11047.8,72.1255,35420.5,0.245227,0.988704,0.00373699,45051.6,0.96 
106,0.76,0.21,44.86,106,43685.4,-0.440619,80.4272,12.729,73.4845,0.132722,418.277,1.54488,0.155328,-2.15447,-1.76658,0.945343,-0.450069,-61.1659,6144.06,2.65255,39707.8,35133.8,0.540474,-1.76932,-0.996286,1.33049,-0.0649238,-0.0382648,6229.85,9.00745,39793.5,0.140212,0.997476,0.000416795,44431.7,0.96 
107,0.76,0.21,44.78,107,42814.3,-0.0248526,79.8443,12.3389,73.9658,-0.0608939,-10.8581,500,0.642911,-4.6053,-2.50403,-3.18117,-0.726272,-23.5058,10229.7,138.103,34829.9,32092.8,0.790921,-4.45729,-2.20801,-3.03316,-0.578262,0.76723,10262.7,140.545,34862.8,0.234677,0.976595,0.00737147,43731,0.96 
108,0.76,0.21,44.88,108,44491.4,-0.445845,79.5959,13.0036,73.6458,-0.0174132,252.858,4.79276e-11,-0.862907,-0.73806,0.963821,3.34462,2.09973,-50.3437,2323.35,-99.767,44226,33837.1,-0.545907,-0.421059,1.59782,3.66162,2.41673,0.761846,2393.96,-94.5365,44296.6,0.0532955,1.07424,-0.00394688,44918.7,0.96 
109,0.76,0.21,44.76,109,45043.2,-0.564356,82.1143,12.7947,73.625,0.212999,554.935,500,-0.994757,-0.616814,1.94074,2.41267,-0.350317,-41.8946,6488.67,7.91118,40687.6,38049.2,-0.730958,-0.353015,2.46833,2.67646,-0.0865176,0.378927,6547.43,12.2639,40746.4,0.143383,0.996733,0.00055413,45664,0.96 
110,0.76,0.21,44.72,110,45309.8,-0.692004,78.7646,13.4918,73.5896,-1.37837,-1967.15,205.272,-2.93964,-3.78998,-5.50022,-2.86196,-2.65452,52.3585,390.829,-141.366,47109.1,122861,-3.26932,-4.11967,-6.15959,-3.19165,-2.98421,0.687718,317.391,-146.806,47035.7,0.00697997,5.24782,-0.00578275,45471.7,0.96 
111,0.76,0.21,44.82,111,46543,-0.0243952,87.6335,12.1602,73.7955,0.00197833,-29.0275,9.37734e-12,2.41748,1.81447,2.35688,1.14944,-0.978467,-40.3678,15655,125.614,32948.3,34692.1,2.67166,2.06866,2.86525,1.40362,-0.724282,0.65416,15711.6,129.808,33004.9,0.331494,0.985748,0.00719285,47396.3,0.96 
112,0.76,0.21,44.74,112,41497.3,-0.0472436,75.533,12.7006,73.5499,0.01768,-0.671346,500,0.773138,-3.84653,4.45797,-0.971149,-1.24886,5.27766,2054.25,-81.4217,41747,31229.3,0.739906,-3.87976,4.3915,-1.00438,-1.28209,5.2437,2046.85,-81.97,41739.6,0.0485993,1.07536,-0.00363074,42116.9,0.96 
113,0.76,0.21,44.81,113,46219.1,-0.0463076,87.4084,12.127,74.1415,-0.0361389,-7.05685,500,-1.145,-2.13327,-1.84439,-0.417854,-0.627213,-31.6665,15893.9,185.269,32367.6,34514.8,-0.945606,-1.93388,-1.44559,-0.218458,-0.427817,0.709215,15938.3,188.559,32412,0.338725,0.979716,0.010603,47053.9,0.96 
114,0.76,0.21,44.83,114,45308.1,-0.0839523,86.3455,12.0074,73.9707,0.231788,57.647,500,0.129672,-3.42989,-0.225193,-0.223208,2.45872,55.9118,13741,107.041,33729.5,34185.9,-0.222389,-3.78195,-0.929316,-0.575269,2.10666,0.726854,13662.6,101.232,33651,0.297222,0.9872,0.00551102,45967.6,0.96 
