cyc,waittime,wiggletime,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ff
0,0.87,0.1,44.8,0,48187.3,-0.567201,90.5366,12.2715,74.443,0.121062,128.989,232.713,2.85401,0.834831,3.23279,0.886719,-0.960899,-2.42354,15767.5,203.796,34246.7,36675.8,2.86927,0.850092,3.26331,0.901979,-0.945639,0.529716,15770.9,204.048,34250.1,0.324164,0.977859,0.0108554,48651,0.96 
1,0.87,0.1,44.7,1,45113.9,-0.195965,77.8319,13.4946,73.4733,0.0683558,42.3475,2.25858,-2.15777,-4.17586,-1.34618,-3.34573,-4.69056,-4.04361,637.342,-129.379,46472.1,34285.3,-2.13231,-4.1504,-1.29526,-3.32027,-4.6651,0.916775,643.013,-128.959,46477.7,0.0142066,1.54076,-0.00513743,45261.6,0.96 
2,0.87,0.1,44.94,2,44753.4,-0.531741,79.0207,13.1869,73.7259,0.0316763,636.856,497.214,0.0468235,-0.773749,-0.219835,1.34538,-0.104147,-115.495,1172.21,-110.51,45710.6,34578.5,0.774064,-0.0465085,1.23465,2.07262,0.623094,0.734936,1334.2,-98.5108,45872.6,0.0294059,1.14838,-0.00397161,45371.9,0.96 
3,0.87,0.1,44.9,3,43837.6,-0.106606,77.1156,12.996,73.8159,-0.0166772,-46.1658,197.515,-1.59531,0.010646,1.04146,0.65278,6.09036,-69.2183,541.272,-109.15,45142.2,32649.8,-1.15946,0.446495,1.91316,1.08863,6.52621,0.782966,638.357,-101.959,45239.3,0.0144857,1.38795,-0.00416898,44068.1,0.96 
4,0.87,0.1,44.92,4,41004,-0.308488,74.8983,12.7595,73.5706,0.146575,-146.647,500,-1.66864,-1.18267,-3.3772,-0.581789,-2.50595,-154.008,505.787,-100.342,42667.2,31809.9,-0.698891,-0.21293,-1.43772,0.387956,-1.53621,0.588964,721.798,-84.3408,42883.2,0.0172309,1.25705,-0.00363615,41889.7,0.96 
5,0.87,0.1,44.84,5,42956.1,-0.507503,81.5223,12.2443,73.9706,1.39922,-180.457,4.20374,2.18411,-1.72648,3.94783,1.29301,2.64072,-116.713,10417.8,135.966,34614.1,40714,2.91902,-0.991567,5.41766,2.02792,3.37564,0.575041,10581.5,148.092,34777.8,0.240662,0.976093,0.00778307,43968.2,0.96 
6,0.87,0.1,44.86,6,47398.6,-0.626327,84.7617,12.9846,73.715,0.0672933,418.061,97.8873,-1.84571,-2.50484,-0.362442,3.86613,0.879611,-39.3568,6514.97,6.57427,42837.4,36743.8,-1.59789,-2.25702,0.133197,4.11395,1.12743,0.912351,6570.17,10.6633,42892.6,0.137604,0.997168,0.000457746,47747.1,0.96 
7,0.87,0.1,44.78,7,43152.3,-0.050521,82.2904,11.9996,73.9447,-0.00829276,0.0522267,500,1.80872,-2.34116,3.59761,-0.502291,1.42529,-55.3785,10934.1,96.9527,34330.2,32144.9,2.15742,-1.99246,4.29502,-0.153587,1.77399,0.293628,11011.8,102.706,34407.9,0.250022,0.98394,0.00546855,44043.3,0.96 
8,0.87,0.1,44.88,8,45319.8,-0.625586,79.6125,13.2562,73.753,-0.62332,181.547,56.0318,-1.00233,-2.8327,-2.99087,1.37359,1.11607,-72.3938,2397.58,-101.886,44904.4,38039.1,-0.546481,-2.37685,-2.07918,1.82944,1.57191,-0.298543,2499.12,-94.3642,45005.9,0.0546796,1.07075,-0.00387733,45704.8,0.96 
9,0.87,0.1,44.76,9,43155.6,-0.118283,79.1962,12.5697,73.6943,0.055047,73.1461,0.301048,0.333644,-2.5218,6.43163,2.19006,0.830835,-157.535,6490.1,-3.61438,38910.7,32537.1,1.3256,-1.52985,8.41554,3.18202,1.82279,0.363236,6711.05,12.7529,39131.7,0.151568,0.996686,0.000599975,44277.5,0.96 
