cyc,waittime,wiggletime,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ff
157,0.73,0.25,44.7,157,41235.2,-0.0803387,75.2375,12.737,73.2737,0.266753,250.66,4.58023,-4.03249,-2.83825,-1.63178,3.39778,3.34945,19.4504,267.002,-146.705,43399.1,33372.6,-4.15497,-2.96072,-1.87672,3.2753,3.22698,0.246337,239.721,-148.726,43371.8,0.00572445,-11.6658,-0.00635689,41876.6,0.96 
158,0.72,0.25,44.94,158,42323.4,-0.0662867,76.4641,12.7915,73.3836,0.0131336,-0.316816,500,-1.53216,-2.19499,-2.4534,-2.04941,0.613039,-63.0537,1194.39,-129.727,43279.8,31840.3,-1.13513,-1.79796,-1.65934,-1.65237,1.01007,0.683014,1282.83,-123.176,43368.2,0.0298914,1.20197,-0.00525955,42916.3,0.96 
159,0.72,0.25,44.9,159,41940.1,-0.654123,75.9858,12.9653,73.1773,0.0343926,582.033,13.944,-1.06432,-1.21178,-5.30597,-1.3071,-1.88829,15.2532,482.15,-130.046,43608.9,32722.6,-1.16036,-1.30782,-5.49806,-1.40314,-1.98434,0.515748,460.756,-131.631,43587.5,0.0108913,1.99979,-0.00559413,42304.7,0.96 
160,0.72,0.25,44.92,160,41980.7,-0.684445,76.2507,12.9769,73.2652,0.220887,514.68,182.676,-1.6064,-1.99207,2.74112,-0.256597,-3.07902,1.30962,671.726,-115.629,43568.7,35912.4,-1.61465,-2.00031,2.72463,-0.264843,-3.08727,1.64223,669.89,-115.766,43566.9,0.0157643,1.43353,-0.0049189,42494.1,0.96 
161,0.72,0.25,44.84,161,45383.3,-0.0749933,84.011,12.3706,73.7322,0.0225369,46.1182,499.979,-0.154411,-1.05696,-0.903508,0.625284,-1.53227,10.6769,10796.7,66.571,36670.8,33865.5,-0.221641,-1.12419,-1.03797,0.558054,-1.5995,0.696965,10781.7,65.4617,36655.8,0.234532,0.989487,0.00327893,45971.3,0.96 
162,0.72,0.25,44.86,162,41641.1,-0.0513797,78.1917,12.2751,73.6124,-0.07244,-3.22611,500,-1.92473,-0.801761,-5.20211,-2.87438,0.113267,-16.349,5489.94,-24.397,38489.8,31252.6,-1.82179,-0.698816,-4.99622,-2.77143,0.216212,0.503952,5512.87,-22.6984,38512.8,0.12976,1.00726,-0.00108687,42485.1,0.96 
163,0.72,0.25,44.78,163,45710.5,-0.040228,85.7915,12.2162,73.7419,0.00894373,-13.5889,2.58084e-11,-2.0018,-3.65034,1.28499,-2.18227,1.9453,-63.9305,12128.3,63.5406,35849.9,34121.4,-1.59924,-3.24778,2.0901,-1.77972,2.34786,1.95491,12218,70.1828,35939.5,0.261516,0.990048,0.00358437,46719.9,0.96 
164,0.72,0.25,44.88,164,41123.6,-0.0264361,75.1265,12.6717,73.2922,-0.00619638,-15.8229,500,-0.848984,-1.74022,-2.67924,-3.99523,-0.100825,-91.8317,1533.19,-126.882,41877.4,30993.4,-0.270744,-1.16198,-1.52276,-3.41699,0.477415,0.74169,1661.99,-117.341,42006.2,0.0395827,1.14097,-0.00517241,41987.9,0.96 
165,0.72,0.25,44.76,165,42805.6,-0.0414293,80.0807,12.3143,73.3869,-0.00828792,-18.42,500,-1.3331,-1.20815,1.92083,-0.176598,0.240217,-91.7187,6676.66,-18.6187,38347.3,32107.2,-0.755573,-0.63062,3.07589,0.400931,0.817746,-0.0575981,6805.31,-9.08944,38475.9,0.155578,1.00234,-0.000435363,43742.2,0.96 
166,0.72,0.25,44.72,166,45171.2,-0.657687,78.9971,13.3647,73.216,0.814448,65.7128,81.4086,-3.77033,-1.56042,2.15486,-0.652273,-0.291386,-30.1147,490.77,-147.137,46742.6,36111,-3.5807,-1.3708,2.53411,-0.462649,-0.101761,1.84986,533.009,-144.008,46784.8,0.0117283,1.89686,-0.0057025,45446.5,0.96 
167,0.72,0.25,44.82,167,41818.2,-0.0526169,81.79,11.7782,73.6905,0.0347664,-7.5308,500,-0.387973,-1.94751,2.33331,-0.23924,-2.01549,-96.4739,13585.3,143.949,30541.4,31368.4,0.219497,-1.34004,3.54825,0.368231,-1.40802,-1.55652,13720.6,153.972,30676.7,0.317825,0.98074,0.00916118,43170.2,0.96 
