cyc,waittime,wiggletime,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ff
115,0.76,0.22,44.7,115,42525.1,-0.0735823,76.3232,12.9029,73.6771,0.0985783,24.8845,500,1.92557,1.05042,-0.907776,0.852799,0.772825,-0.0438401,920.649,-115.096,43853.5,32138,1.92584,1.0507,-0.907224,0.853075,0.773101,1.24549,920.711,-115.091,43853.5,0.0214019,1.28001,-0.00485799,43020.1,0.96 
116,0.75,0.22,44.94,116,40147.3,-0.0396393,72.7597,12.8485,73.5817,-0.00480723,-6.11064,500,-1.00347,0.254985,-3.69271,3.31675,-0.487173,54.6965,523.343,-103.728,41979.3,30433.4,-1.34788,-0.0894245,-4.38152,2.97234,-0.831582,-0.191255,446.626,-109.411,41902.6,0.0109809,1.7504,-0.00483312,40673.1,0.96 
117,0.75,0.22,44.9,117,43082.5,-0.422919,78.3759,12.8052,73.6133,0.307543,242.021,7.51068e-10,0.74757,-2.17285,-2.56852,-4.3922,-1.13505,-64.0768,1736.3,-85.2934,43613.9,35094,1.15104,-1.76937,-1.76157,-3.98872,-0.731573,0.751899,1826.17,-78.636,43703.8,0.0417108,1.0815,-0.00332551,43781.8,0.96 
118,0.75,0.22,44.92,118,41937.7,-0.129103,75.0911,12.9544,73.6037,0.192036,-70.3867,0.000278588,-1.22244,-1.4682,-2.37911,-1.57842,3.39754,-6.44062,265.374,-128.426,43926,32106.5,-1.18189,-1.42765,-2.298,-1.53787,3.43809,0.235862,274.408,-127.756,43935.1,0.00646394,5.39811,-0.0053854,42452.1,0.96 
119,0.75,0.22,44.84,119,44824,-0.160267,85.8016,12.0694,73.8545,-0.0495891,121.833,500,-0.987424,-0.247424,-2.42868,1.92732,1.1271,17.0233,14889.7,131.349,32146.1,33908.1,-1.09462,-0.354615,-2.64306,1.82013,1.01991,-1.11064,14865.9,129.58,32122.3,0.325269,0.984975,0.00737617,45703.2,0.96 
120,0.75,0.22,44.86,120,44470.6,-0.0631285,83.3763,12.3015,73.7997,0.0270215,8.70721,102.19,0.949615,-2.52169,-2.54709,-1.64468,1.66037,9.27699,11062.4,65.6821,35742.7,33396,0.891201,-2.5801,-2.66392,-1.70309,1.60196,0.401898,11049.4,64.7183,35729.7,0.243647,0.989854,0.00332556,45349.9,0.96 
121,0.75,0.22,44.78,121,44079.3,-0.0636654,80.8599,12.5138,73.5806,-0.000928396,17.188,4.91577e-12,-1.99951,-4.87933,-5.03258,-2.47748,0.167192,-60.8923,6815.35,5.42259,39392.5,32940.1,-1.61609,-4.49591,-4.26573,-2.09406,0.550614,0.642172,6900.76,11.7491,39477.9,0.154036,0.997029,0.000547931,44799.5,0.96 
122,0.75,0.22,44.88,122,42811.7,-0.641541,79.2863,12.6464,73.644,-1.29817,229.438,325.597,-2.70425,-3.25448,-6.34591,-0.326391,0.37896,-87.2639,4937.55,-6.07955,40117.7,42336.7,-2.15477,-2.705,-5.24695,0.223087,0.928437,0.414089,5059.95,2.98683,40240.1,0.115814,0.998968,0.000136712,43690.4,0.96 
123,0.75,0.22,44.76,123,44187.4,-0.27753,79.5846,12.8561,73.6887,-0.278431,647.73,498.865,0.802491,2.38675,4.61315,0.162236,0.659835,19.0727,2490.98,-91.9349,43818.7,39177.9,0.682395,2.26665,4.37296,0.0421398,0.539739,0.446733,2464.23,-93.9165,43792,0.0553703,1.07146,-0.00396626,44504.5,0.96 
124,0.75,0.22,44.72,124,42917.9,-0.228766,75.6507,13.1746,73.3442,1.70991,77.6282,0.10071,-2.14519,-1.46945,1.45399,3.05717,2.36766,-26.1454,515.118,-112.935,44616.1,36765.8,-1.98056,-1.30482,1.78325,3.2218,2.53229,0.580605,551.789,-110.218,44652.8,0.0127086,1.53741,-0.00456771,43418.5,0.96 
125,0.75,0.22,44.82,125,44420.9,-0.542369,84.382,12.1637,73.9028,-0.259166,329.473,232.34,0.0984415,0.126317,-0.193351,1.28739,-1.81623,14.17,15076.5,126.784,31492.7,36192.2,0.00921665,0.0370917,-0.3718,1.19817,-1.90545,0.639999,15056.6,125.312,31472.8,0.332592,0.985644,0.00728112,45270.5,0.96 
126,0.75,0.22,44.74,126,42140.7,-0.0395212,76.0873,12.7959,73.6727,0.0060645,-5.63578,500,-0.737785,-3.52118,4.12474,-1.38346,1.23248,77.2676,587.22,-118.716,43817.8,31695.1,-1.22432,-4.00771,3.15167,-1.86999,0.745942,1.98354,478.845,-126.744,43709.4,0.0112829,1.86289,-0.00537021,42439.9,0.96 
128,0.75,0.22,44.83,128,44428.1,-0.532034,84.901,12.1186,73.8715,1.29228,732.674,485.742,-0.312146,-2.50807,1.70695,2.56867,-1.11395,-67.9429,15274.1,143.526,31307,64315.5,0.115673,-2.08025,2.56259,2.99649,-0.686128,0.118892,15369.4,150.585,31402.3,0.337673,0.983143,0.00875619,45515.5,0.96 
