cyc,freq,VVA,Charge Time,Wiggle Time,Pulse Time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
36,44.845,1.6,0.67,0.25,0.06,36,30300.2,-0.184657,48.8796,14.1795,79.9272,-0.00777837,14.9587,0.00614577,1.61978,0.63707,3.14962,0.731524,-1.5043,-6.59285,1125.18,-64.2467,30538.5,22566.1,1.66129,0.678583,3.23265,0.773037,-1.46279,0.337948,1134.42,-63.5617,30547.7,0.0277729,1.10871,-0.00384768,40846.5 
37,44.85,1.6,0.67,0.25,0.06,37,31334.1,-0.0116812,50.1375,14.1955,80.0801,-0.0286367,-6.47338,500,-1.30409,0.706658,-0.676239,1.07357,2.50756,29.4037,783.988,-86.0624,31928.5,23175.1,-1.48923,0.521511,-1.04653,0.888427,2.32241,1.8746,742.746,-89.1173,31887.2,0.0176022,1.26578,-0.00517489,42196.2 
38,44.78,1.6,0.67,0.25,0.06,38,28879.6,-0.355106,47.5898,14.0277,80.0948,-0.260359,777.058,145.2,-0.892972,-3.17187,0.130132,2.42074,2.74649,-31.8626,152.686,-79.6617,30139.6,28317.9,-0.692342,-2.97124,0.531392,2.62137,2.94712,0.781886,197.376,-76.3513,30184.3,0.00500485,3.09555,-0.00468143,39436.9 
39,44.79,1.6,0.67,0.25,0.06,39,29156.4,0.0144136,48.0398,13.7727,80.0067,-0.0238988,-8.41009,4.05393e-11,1.02172,2.88324,-1.33806,-0.542742,1.47181,-39.2556,833.457,-78.891,29776.4,21545,1.2689,3.13042,-0.843698,-0.29556,1.71899,1.16945,888.517,-74.8125,29831.4,0.0223981,1.17281,-0.00464115,39669.4 
40,44.82,1.6,0.67,0.25,0.06,40,30155.6,-0.0403433,48.9909,13.9714,80.0706,-0.0553335,91.2491,500,2.12797,0.0976806,-3.77192,0.385209,-0.14595,-6.81985,2801.14,-26.9284,28618.5,22446.2,2.17091,0.140623,-3.68603,0.428152,-0.103007,-2.51267,2810.7,-26.2199,28628,0.0702199,1.0166,-0.00169,40027.1 
41,44.815,1.6,0.67,0.25,0.06,41,30778.7,-0.0146641,48.357,14.3453,79.9269,-0.0584797,140.037,499.58,0.0769534,0.521599,-1.53571,2.00381,1.51187,-23.8443,1121.58,-88.1022,30829.5,22848.6,0.227094,0.67174,-1.23543,2.15395,1.66201,1.35507,1155.02,-85.6249,30863,0.0279823,1.14907,-0.00513691,41276.9 
42,44.855,1.6,0.67,0.25,0.06,42,29187.4,-0.296372,48.9914,13.7123,80.3018,-0.181512,2891.17,5.01185e-07,1.34143,-0.25229,3.19756,2.22965,-0.347159,-15.9256,1281,-69.6839,29428.8,38952.2,1.44171,-0.152011,3.39811,2.32992,-0.24688,0.498126,1303.34,-68.0293,29451.1,0.0329211,1.10053,-0.00427328,39589.8 
43,44.785,1.6,0.67,0.25,0.06,43,28181,-0.0621028,47.1151,13.6434,80.1053,-0.0394311,99.9471,500,1.52273,0.281783,-1.51062,-0.0472643,-0.552826,-35.954,343.067,-78.4774,29287.7,21053.9,1.74912,0.508176,-1.05784,0.179128,-0.326434,2.0054,393.496,-74.7419,29338.1,0.0102119,1.4979,-0.00471508,38533.1 
44,44.795,1.6,0.67,0.25,0.06,44,28974.5,-0.368849,47.3885,14.1637,79.9085,0.0106265,880.129,134.634,0.621422,-0.712557,2.21321,0.139165,1.9356,-12.9581,622.135,-89.5716,29766.2,22154.2,0.703016,-0.630963,2.37639,0.220758,2.01719,0.492917,640.31,-88.2253,29784.4,0.016268,1.31774,-0.0054865,39360 
45,44.825,1.6,0.67,0.25,0.06,45,32687.6,-0.0342648,57.1121,12.9254,80.2708,0.0865589,-199.467,499.405,1.87217,0.969028,0.599524,1.92956,-0.457758,-53.9798,14123.3,152.553,19829,24592.9,2.21207,1.30892,1.27932,2.26946,-0.117862,0.815976,14199,158.161,19904.8,0.354309,0.98088,0.014426,40075.2 
46,44.86,1.6,0.67,0.25,0.06,46,29345.1,-0.0903116,48.3058,13.8692,80.056,-0.0386187,36.926,500,1.48968,-0.112689,-2.80944,-1.18539,0.593625,-48.3529,584.069,-84.1225,30125.7,21855.9,1.79414,0.191776,-2.20051,-0.880929,0.898091,-10.1457,651.889,-79.0988,30193.5,0.0163366,1.26959,-0.00484921,39903.5 
47,44.835,1.6,0.67,0.25,0.06,47,29516.6,-0.234538,53.0764,12.7194,80.4086,0.462055,1065.19,2.04921,0.0449903,1.81847,-1.02411,-2.16578,-0.794696,-66.9269,21051.9,285.323,9630.02,37998.7,0.466411,2.23989,-0.18127,-1.74436,-0.373275,1.44494,21145.8,292.276,9723.89,0.625859,0.976383,0.0524643,33786.8 
48,44.865,1.6,0.67,0.25,0.06,48,31676.1,-0.313364,49.9033,14.5954,80.0776,0.00941793,109.275,500,-0.302172,-1.92889,-1.32794,-0.661507,-1.7089,28.7212,413.272,-76.1496,32534.2,23744,-0.483022,-2.10974,-1.68964,-0.842357,-1.88975,0.759122,372.987,-79.1336,32493.9,0.00875248,1.59054,-0.00450637,42615 
49,44.84,1.6,0.67,0.25,0.06,49,31716.8,-0.320033,54.4939,13.3084,80.1194,-0.100484,105.82,0.902387,3.38154,-1.15586,-3.11443,0.555232,0.499857,-24.9978,9445.03,79.5509,23568.3,23954.7,3.53894,-0.998457,-2.79962,0.712637,0.657262,3.52045,9480.1,82.148,23603.4,0.236032,0.985062,0.00637034,40164.5 
50,44.805,1.6,0.67,0.25,0.06,50,28886.7,-0.141141,48.0583,13.7325,79.8872,0.0290334,111.615,465.468,1.38329,2.09766,-3.46853,-0.49419,1.71614,-22.255,1311.52,-40.8999,29055.6,21589.5,1.52342,2.23779,-3.18826,-0.354056,1.85627,2.53639,1342.74,-38.5877,29086.8,0.0342924,1.05295,-0.0024498,39155.6 
51,44.81,1.6,0.67,0.25,0.06,51,30709.7,-0.0799232,49.847,14.0149,80.1969,-0.0251364,121.348,500,2.32229,1.36801,-2.26441,1.3509,-0.296832,21.4078,2311.13,-47.6517,29822.5,22841,2.18749,1.23321,-2.53401,1.2161,-0.431631,2.51632,2281.1,-49.8759,29792.5,0.0556212,1.03979,-0.00309343,41011.3 
52,44.83,1.6,0.67,0.25,0.06,52,34877.7,-0.0248437,59.2514,13.3252,80.3433,-0.639096,1017.11,500,0.326906,0.445601,2.59816,2.06272,1.89398,-42.8309,24679.4,289.491,11362.1,46862.6,0.5966,0.715296,3.13755,2.33242,2.16368,0.649261,24739.5,293.941,11422.1,0.62492,0.979631,0.0452598,39588.2 
53,44.8,1.6,0.67,0.25,0.06,53,30986.3,-0.0638137,49.3427,14.2987,79.9063,-0.0559628,157.577,500,0.520538,0.62346,-1.94212,-0.95924,4.33797,-61.6289,495.433,-90.6098,31847.7,23254.6,0.908599,1.01152,-1.166,-0.571179,4.72604,1.23752,581.874,-84.2068,31934.1,0.0138225,1.33914,-0.00488114,42096.2 
