cyc,freq,VVA,Charge Time,Wiggle Time,Pulse Time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
90,44.845,1.6,0.55,0.37,0.06,90,27929.1,-0.303254,47.2746,13.5602,80.0082,-0.227697,84.5036,445.891,-0.216182,-0.647997,3.3624,3.50256,-1.39425,-35.5376,1948.01,-34.102,27381.5,21494.7,0.00758862,-0.424226,3.80994,3.72634,-1.17048,0.359583,1997.86,-30.4098,27431.3,0.0530518,1.02737,-0.0020463,37658.6 
91,44.85,1.6,0.55,0.37,0.06,91,28236.3,-0.27431,47.4406,13.6257,80.1632,-0.149319,31.4359,419.967,-0.375843,0.983114,3.62789,-1.14868,-2.12472,46.5002,1737.48,-29.0892,27927.8,21195.6,-0.668642,0.690314,3.04229,-1.44148,-2.41752,4.82662,1672.26,-33.9204,27862.6,0.0441303,1.0368,-0.00224765,37893.6 
92,44.78,1.6,0.55,0.37,0.06,92,28248.4,-0.0913337,47.19,13.6003,80.4372,-0.0661963,133.302,500,-1.55219,0.7915,-2.37101,-3.62637,-0.466391,8.54047,538.143,-40.1146,29017.8,21179.9,-1.60596,0.737723,-2.47857,-3.68015,-0.520168,0.671588,526.164,-41.002,29005.8,0.0137618,1.1579,-0.00261076,38233.7 
93,44.79,1.6,0.55,0.37,0.06,93,30774.8,-0.338113,49.6024,14.2497,79.8534,-0.073937,-14.0664,477.588,3.4543,0.42093,0.234714,-1.13393,1.35001,-27.9277,532.998,-64.0809,31518.3,23043.1,3.63015,0.596783,0.58642,-0.958081,1.52586,0.891023,572.17,-61.1793,31557.5,0.0137551,1.23019,-0.00358402,41596.9 
94,44.82,1.6,0.55,0.37,0.06,94,30488.1,-0.169709,53.93,12.8107,80.5094,-0.00221739,172.606,500,0.398491,0.647909,0.720793,-2.24389,-2.37373,-14.9249,14910.3,290.02,16674.9,22502.9,0.492469,0.741887,0.908749,-2.14991,-2.27975,1.39743,14931.2,291.57,16695.8,0.407558,0.966956,0.0311673,36635.8 
95,44.815,1.6,0.55,0.37,0.06,95,28546.5,-0.0320198,49.7851,12.9799,80.3117,0.00117806,20.8507,500,0.109478,0.714401,-5.35631,-1.91232,-0.262545,17.0202,5161.45,39.6284,24727.4,21036.9,0.00230693,0.60723,-5.57065,-2.0195,-0.369716,0.242122,5137.58,37.8601,24703.5,0.137914,0.987268,0.00281522,37252.1 
96,44.855,1.6,0.55,0.37,0.06,96,25932.3,0.0450412,44.825,-13.1524,80.1398,0.00677683,-59.5437,3.60567e-12,1.29284,2.75045,1.08423,0.937154,-0.743085,-58.9912,502.62,-30.0627,26756.8,19205.2,1.66429,3.1219,1.82714,1.30861,-0.371633,0.758005,585.361,-23.9338,26839.6,0.0164998,1.07707,-0.00164537,35476.8 
97,44.785,1.6,0.55,0.37,0.06,97,27994.8,-0.254056,47.3663,13.5852,80.1131,-0.0252046,204.173,500,0.848398,0.415949,-0.621984,-0.655099,0.815599,-33.5959,857.721,-62.1535,28513.5,21115,1.05994,0.627494,-0.198895,-0.443554,1.02714,1.09599,904.843,-58.663,28560.7,0.0237906,1.12798,-0.00379802,38033.7 
98,44.795,1.6,0.55,0.37,0.06,98,28180.6,-0.34823,46.7583,13.9359,80.0694,0.386277,388.759,329.944,-2.02006,1.91483,0.349703,-0.912481,-1.04286,-0.964456,496.465,-61.2509,29123.9,26100.8,-2.01398,1.92091,0.361849,-0.906408,-1.03679,1.2161,497.818,-61.1507,29125.2,0.0129773,1.27383,-0.00388266,38360.6 
99,44.825,1.6,0.55,0.37,0.06,99,32924.4,-0.325553,57.045,13.1841,80.5899,-0.570458,567.855,5.89973,2.42865,1.48874,2.83748,-1.89103,2.15333,-10.6782,23631,343.487,10317.9,35028.1,2.49589,1.55598,2.97195,-1.8238,2.22056,0.599499,23645.9,344.596,10332.9,0.637723,0.975131,0.0578775,37078.7 
