cyc,freq,VVA,Charge Time,Wiggle Time,Pulse Time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
18,44.845,1.6,0.71,0.21,0.06,18,28320.5,-0.180963,47.6507,13.6528,79.8348,0.00402737,71.473,5.66655e-05,-1.33509,0.651081,-0.706157,-0.326639,1.99258,58.2365,1662.89,-59.4352,28187.9,21187.4,-1.70179,0.284381,-1.43956,-0.693339,1.62588,0.251956,1581.21,-65.4858,28106.2,0.0414807,1.07814,-0.0043105,38119.2 
19,44.85,1.6,0.71,0.21,0.06,19,31377.2,-0.292954,50.6671,14.1693,79.7766,-0.173398,-101.239,499.935,2.48144,-0.387941,0.755721,3.4013,1.91295,-8.52047,2451.63,-48.7155,30199.8,23942.1,2.53509,-0.33429,0.863023,3.45495,1.96661,0.898293,2463.58,-47.8302,30211.8,0.0590235,1.03517,-0.00292488,41738.9 
20,44.78,1.6,0.71,0.21,0.06,20,27936.5,-0.0958386,46.6961,13.6914,80.0053,-0.0644427,-80.2123,500,0.670219,-1.26174,-1.17575,1.3336,3.35665,-27.4094,335.919,-92.7195,29019.1,20980.8,0.842809,-1.08915,-0.83057,1.50619,3.52924,1.20982,374.363,-89.8718,29057.6,0.00981313,1.72448,-0.00573007,38149.2 
21,44.79,1.6,0.71,0.21,0.06,21,28208.4,-0.0332601,46.5139,13.8955,79.9104,-0.0096275,1.50746,497.095,0.0316485,-0.969471,1.01115,-1.03391,0.571203,48.5582,585.048,-72.3911,29065.4,21040.7,-0.27411,-1.27523,0.399638,-1.33967,0.265445,1.1797,516.94,-77.4361,28997.3,0.0135277,1.35528,-0.00494358,38213.4 
22,44.82,1.6,0.71,0.21,0.06,22,32613.1,-0.268432,57.1373,13.006,80.1362,1.15029,-614.834,2.35468e-12,0.765122,-1.72215,1.65765,1.21737,0.46513,2.91432,14788,189.598,19055.2,47214.1,0.746772,-1.7405,1.62094,1.19902,0.44678,0.286874,14783.9,189.295,19051.1,0.3738,0.978084,0.0179745,39550.4 
23,44.815,1.6,0.71,0.21,0.06,23,30188.5,-0.00145498,49.5257,13.812,79.9375,-0.0463004,-24.2583,500,2.1437,0.128995,-2.33831,-2.39706,-0.263535,-15.4738,3588.81,-4.31202,27876.2,22304.6,2.24113,0.22643,-2.14344,-2.29962,-0.166101,-0.000859178,3610.51,-2.70435,27897.9,0.0905392,1.00131,-0.0001786,39877.8 
24,44.855,1.6,0.71,0.21,0.06,24,26558.3,-0.342479,45.7641,13.4543,79.925,-0.0587135,-31.2616,88.3897,-2.23522,-2.33279,0.845883,2.8076,-0.451314,9.92228,757.843,-63.4145,27307.6,20103.6,-2.2977,-2.39527,0.720927,2.74512,-0.513792,1.41416,743.926,-64.4454,27293.7,0.0205359,1.17869,-0.00436855,36225.7 
25,44.785,1.6,0.71,0.21,0.06,25,29984.4,-0.195101,49.471,13.9646,79.7768,0.383739,553.779,317.928,-1.50778,-1.14503,-1.24111,1.49947,1.92732,9.21503,861.402,-91.2909,30565.3,29407,-1.56581,-1.20306,-1.35716,1.44145,1.86929,-0.664653,848.477,-92.2483,30552.4,0.0209157,1.23497,-0.00559307,40566.6 
26,44.795,1.6,0.71,0.21,0.06,26,28567.1,-0.351794,47.7503,13.8306,79.8911,0.421747,561.218,1.26223,0.403107,-1.85475,1.84841,1.15866,0.736005,-20.8128,312.358,-86.0827,29774.9,29203.8,0.53416,-1.7237,2.11052,1.28971,0.867057,0.314265,341.55,-83.9204,29804,0.00873825,1.75433,-0.00521393,39086.8 
27,44.825,1.6,0.71,0.21,0.06,27,32965.6,-0.322163,58.5438,12.8553,80.1801,-0.171426,-95.6661,342.437,0.497833,1.99486,4.44439,4.1741,3.01804,-49.3347,22415.8,244.64,11593.3,25033.4,0.80848,2.30551,5.06568,4.48475,3.32869,0.683259,22485,249.766,11662.5,0.597271,0.980932,0.0379536,37646.3 
28,44.86,1.6,0.71,0.21,0.06,28,31588.3,-0.379425,50.34,14.485,79.7979,-0.39564,-242.293,27.9023,-1.33552,-2.54088,0.410334,1.85303,0.984155,-16.2629,431.35,-109.114,32455.4,26857.6,-1.23311,-2.43847,0.615141,1.95543,1.08656,43.5589,454.161,-107.425,32478.2,0.0106421,1.7063,-0.00613029,42675.8 
29,44.835,1.6,0.71,0.21,0.06,29,30036.2,-0.297282,52.8707,12.9778,80.2985,-0.0908648,463.375,165.065,0.363518,0.0257157,-1.23877,0.322029,-4.21848,-57.0633,10577.3,95.1837,20683.9,23706.9,0.722831,0.385028,-0.520142,0.681342,-3.85917,0.799181,10657.3,101.112,20763.9,0.283059,0.983668,0.00889058,37650.4 
30,44.865,1.6,0.71,0.21,0.06,30,27364.7,-0.071839,46.3422,13.4584,79.9665,-0.0376582,1.00744,0.0109227,0.288366,0.738053,-0.794263,2.64318,4.20868,-20.8139,476.956,-71.2695,28250.7,20304.4,0.419425,0.869113,-0.532144,2.77424,4.33974,1.06761,506.15,-69.1071,28279.9,0.0135806,1.31395,-0.00452188,37270 
31,44.84,1.6,0.71,0.21,0.06,31,32121.6,-0.353491,51.0797,14.4444,80.0845,-0.288985,821.131,337.791,-0.563308,2.1398,-0.445832,-1.09444,-0.787074,30.611,2358.43,-59.8019,31022.4,31743.1,-0.756058,1.94705,-0.83133,-1.28719,-0.979824,0.564144,2315.49,-62.9823,30979.5,0.0543686,1.04998,-0.00375914,42588.8 
32,44.805,1.6,0.71,0.21,0.06,32,30481,-0.325312,50.3358,13.8863,79.9571,-0.573888,309.039,481.545,-1.20163,0.540338,1.33785,1.84296,2.17473,-15.1084,2302.41,-25.5608,29572,28527.6,-1.10649,0.635472,1.52812,1.9381,2.26986,0.709762,2323.6,-23.9911,29593.2,0.0569585,1.0184,-0.00149563,40794.7 
33,44.81,1.6,0.71,0.21,0.06,33,26624.4,-0.19376,45.6009,13.4367,80.1316,-0.0936014,22.7698,0.00190096,2.59649,0.700141,1.46527,-1.29701,-0.796113,16.7381,1254.37,-69.313,26915.5,20015.5,2.49109,0.594745,1.25447,-1.40241,-0.901509,0.383972,1230.89,-71.0521,26892.1,0.0340113,1.11237,-0.00489087,36190.6 
34,44.83,1.6,0.71,0.21,0.06,34,33711.8,-0.33366,59.2719,12.9928,80.3306,-0.343062,606.599,495.299,2.45785,1.80102,1.24217,0.902729,-0.517585,-30.1935,20845.2,227.548,14019.9,31844,2.64797,1.99114,1.62241,1.09285,-0.327464,0.769114,20887.5,230.685,14062.2,0.533274,0.981039,0.0293325,39168.4 
35,44.8,1.6,0.71,0.21,0.06,35,30100,-0.0460606,49.5878,13.7616,79.9832,-0.0269642,49.8256,500,0.61449,0.387438,0.930112,0.665757,1.85475,-56.323,1456.11,-72.2373,30006.3,22258.4,0.969141,0.742089,1.63941,1.02041,2.20941,0.750866,1535.11,-66.3855,30085.3,0.0377677,1.08187,-0.00408134,40645.9 
