cyc,freq,VVA,Charge Time,Wiggle Time,Pulse Time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,44.845,1.6,0.75,0.17,0.06,0,31215.9,-0.342218,49.0595,14.6677,79.2701,0.709971,381.535,499.184,-2.70958,-2.11628,-6.07409,-3.11766,-0.424747,25.5778,801.841,-64.9526,31804.1,32243.1,-2.87064,-2.27734,-6.3962,-3.27872,-0.585803,0.584897,765.966,-67.6101,31768.3,0.0182092,1.18269,-0.00393585,42064.7 
1,44.85,1.6,0.75,0.17,0.06,1,28638.6,-0.34969,47.0403,14.0678,79.5134,-0.0519758,206.466,1.48589,-1.04181,0.113228,0.151389,-0.793421,0.29431,26.5487,354.945,-64.8034,29870.3,21891.6,-1.20898,-0.0539423,-0.182951,-0.960591,0.12714,0.919734,317.708,-67.5617,29833.1,0.00812537,1.59272,-0.00418921,39100.7 
2,44.78,1.6,0.75,0.17,0.06,2,28095.6,-0.293578,46.3037,13.9501,79.3333,0.0750153,-487.963,2.5293e-05,-0.693631,0.998268,-0.0284287,-1.41992,-1.49634,-55.8816,323.511,-70.0635,29282.3,22219.2,-0.34176,1.35014,0.675314,-1.06805,-1.14447,2.277,401.89,-64.2576,29360.7,0.0104195,1.38851,-0.00404787,38570.8 
3,44.79,1.6,0.75,0.17,0.06,3,31905.1,-0.360565,50.3089,14.5882,79.4908,0.222634,-1067.59,52.0714,-2.08757,-0.251833,-2.10789,-0.0484835,-0.811375,5.07556,1836.17,-67.2494,31348.6,31628.8,-2.11953,-0.283793,-2.17181,-0.080443,-0.843335,0.605048,1829.05,-67.7767,31341.5,0.0429627,1.06934,-0.00399953,42573 
4,44.82,1.6,0.75,0.17,0.06,4,30843.8,-0.211857,54.9182,12.7726,79.8332,0.166068,-429.189,0.000280842,-0.0148577,0.0562035,-1.8921,0.267557,0.401268,23.9766,18519.5,200.945,13531.3,25154.7,-0.165832,-0.0947706,-2.19405,0.116583,0.250294,-0.0509029,18485.9,198.454,13497.7,0.513028,0.981559,0.0263699,36032.9 
5,44.815,1.6,0.75,0.17,0.06,5,28075.5,-0.0014584,49.7267,12.8353,79.854,-0.0512404,72.3951,2.55242e-12,0.751648,0.634829,-0.428666,1.21026,2.54588,-55.1588,22369.8,290.081,6895.1,20898.1,1.09897,0.98215,0.265975,1.55758,2.8932,0.960874,22447.1,295.812,6972.47,0.712351,0.977458,0.0724875,31511.3 
6,44.855,1.6,0.75,0.17,0.06,6,27261.4,-0.373251,46.2306,13.7244,79.436,0.0749813,1122.7,461.393,-1.46072,-1.21762,-1.13937,-1.1975,0.0629695,-26.7361,752.996,-59.6562,28015.4,23395,-1.29237,-1.04927,-0.802669,-1.02915,0.23132,0.796387,790.496,-56.8785,28052.9,0.0212161,1.14406,-0.00374895,37259.3 
7,44.785,1.6,0.75,0.17,0.06,7,30070,-0.181589,48.5676,14.1735,79.5507,0.0412107,49.7431,0.0215453,-0.2091,-1.44605,0.528756,0.313473,1.39859,-3.43348,575.45,-59.8725,30881.1,22475.6,-0.18748,-1.42443,0.571995,0.335092,1.42021,0.200436,580.266,-59.5158,30885.9,0.014246,1.21876,-0.0035623,40731.9 
8,44.795,1.6,0.75,0.17,0.06,8,31020.6,-0.15477,49.2935,14.3365,79.5501,-0.177433,320.645,500,1.90718,-0.583348,-3.33079,2.19212,-2.07323,-68.173,1588.15,-65.9067,30696.5,24857.3,2.33644,-0.154081,-2.47226,2.62139,-1.64396,4.59587,1683.77,-58.8238,30792.1,0.040365,1.06512,-0.0035315,41713.6 
9,44.825,1.6,0.75,0.17,0.06,9,31821.5,0.0030122,52.1464,13.7978,79.8887,-0.0185324,-0.0251657,500,2.44529,-1.56287,-2.78837,2.20265,1.9449,-20.7229,4229.28,24.2878,28957.2,23422.3,2.57577,-1.43238,-2.52739,2.33314,2.07539,1.83563,4258.35,26.4408,28986.3,0.101533,0.989251,0.00167752,41940.5 
