cyc,freq,VVA,Charge Time,Wiggle Time,Pulse Time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
72,44.845,1.6,0.59,0.33,0.06,72,27997.9,-0.0693906,46.2414,13.7999,80.0928,-0.00151363,18.3615,500,0.0298781,-1.04166,2.27588,-0.600482,0.727617,-3.96635,385.99,-58.9264,29075,20774.1,0.0548532,-1.01668,2.32583,-0.575507,0.752592,-0.509213,391.553,-58.5143,29080.5,0.0102511,1.35414,-0.00372038,38196.2 
73,44.85,1.6,0.59,0.33,0.06,73,29908.6,-0.19162,48.8668,13.902,79.9225,-0.201134,523.42,492.098,0.345146,-0.056873,1.43364,-0.236546,0.961692,-39.7617,467.34,-83.54,30841.3,25542.1,0.595515,0.193496,1.93437,0.0138229,1.21206,0.510194,523.11,-79.4089,30897.1,0.0128562,1.36175,-0.00475693,40689.3 
74,44.78,1.6,0.59,0.33,0.06,74,29449,-0.0992135,48.472,13.8856,80.004,-0.0416035,20.1819,500,1.41179,0.419272,-4.22376,0.975145,-0.109942,33.3673,433.386,-55.8855,30422.8,21937.7,1.20169,0.209166,-4.64397,0.76504,-0.320047,-0.665624,386.585,-59.3522,30376,0.00969483,1.36738,-0.00361233,39875.4 
75,44.79,1.6,0.59,0.33,0.06,75,26242.2,-0.180838,45.4531,13.2543,80.2446,-0.0405363,129.08,500,-2.67181,-1.61876,-2.74416,1.17792,-0.189383,-22.0348,1142.06,-40.22,26607.1,19782,-2.53306,-1.48001,-2.46666,1.31667,-0.0506361,0.526889,1172.96,-37.9306,26638,0.0327622,1.05999,-0.00262993,35802.3 
76,44.82,1.6,0.59,0.33,0.06,76,30691.7,-0.0178994,55.1255,12.589,80.2731,-0.0485762,0.0679298,500,1.32907,1.12307,1.22378,-1.21863,1.75585,-51.1085,16669.6,205.031,15260.3,22591.4,1.65089,1.44488,1.86742,-0.896816,2.07767,0.69606,16741.3,210.341,15332,0.456503,0.978486,0.0246491,36672.8 
77,44.815,1.6,0.59,0.33,0.06,77,33853.2,-0.362182,57.5101,13.5005,80.307,-0.202691,77.2801,476.612,0.944806,-1.11966,1.53169,1.24862,-1.23879,-23.2851,25344.6,370.633,9534.6,25784.8,1.09143,-0.973043,1.82493,1.39524,-1.09217,0.187615,25377.2,373.053,9567.26,0.671095,0.97492,0.0670149,37814.7 
78,44.855,1.6,0.59,0.33,0.06,78,29244.8,-0.0367045,47.1227,14.0966,80.0629,-0.0470626,72.855,500,0.707366,-0.390635,-1.00296,-0.797394,-0.605328,4.51957,929.169,-73.8028,29606.3,21735.8,0.678908,-0.419093,-1.05988,-0.825853,-0.633786,0.530966,922.83,-74.2723,29600,0.0234204,1.16394,-0.00464368,39402.8 
79,44.785,1.6,0.59,0.33,0.06,79,29762.4,-0.0379283,48.1564,13.9713,80.1428,-0.0386443,199.113,500,-0.795756,-1.42097,2.13508,0.481205,0.16686,-13.3509,614.264,-54.5635,30424.6,22152.5,-0.711688,-1.33691,2.30322,0.565272,0.250928,-1.15089,632.99,-53.1764,30443.4,0.0157423,1.17235,-0.00322805,40209.4 
80,44.795,1.6,0.59,0.33,0.06,80,28811,-0.0438619,47.3272,13.8253,80.1924,-0.0384355,155.983,500,-0.99134,0.165541,-2.62692,1.18575,2.20923,8.10272,1065.68,-79.9274,29056.8,21495.2,-1.04236,0.11452,-2.72896,1.13473,2.15821,-6.49984,1054.32,-80.7692,29045.4,0.0271637,1.15482,-0.00514888,38813.4 
81,44.825,1.6,0.59,0.33,0.06,81,30444.9,-0.0532425,49.7966,13.8288,80.0814,-0.0431523,0.183661,500,1.44071,-0.963512,-1.70653,2.4388,0.173285,7.16073,3210.09,-12.1538,28389.5,22417.4,1.39562,-1.0086,-1.79671,2.39372,0.128195,2.61542,3200.05,-12.8978,28379.5,0.079815,1.0071,-0.000837894,40093.4 
82,44.86,1.6,0.59,0.33,0.06,82,30191.4,-0.248466,49.4629,13.9798,80.3212,-0.0207533,262.78,6.33787e-05,-0.683387,-0.961021,-1.05071,0.183803,-0.297986,31.7587,571.845,-67.3671,30958.2,22687.5,-0.883363,-1.161,-1.45066,-0.0161726,-0.497962,0.638163,527.3,-70.6667,30913.6,0.012951,1.30638,-0.00422875,40715 
