,index,time,pulse_length,B,e_B,A,x0,sigma,C,e_A,e_x0,e_sigma,e_C
0,0,200.0,60.0,202.08868819472326,0.0008041797250939453,0.6968388335670286,44.81497048869849,0.015167125683559508,0.013820742476014483,0.014136168378983424,0.0001256240541263829,0.00031147359640490863,0.004576618202677707
1,1,240.0,60.0,202.16386096870843,0.0007948556460064538,0.6005186678665099,44.82671221219136,0.01680765851546748,0.0176766423577506,0.01091682161941276,0.00012413952566401088,0.0003128610920485428,0.003817688116954774
2,2,280.0,60.0,202.19692751015543,0.0007357044726745698,0.6698706114640098,44.83187625203652,0.015492738379579577,0.011327437939898056,0.012168775347822992,0.00011488999372845849,0.00028607783297092155,0.00400696488369843
3,3,320.0,60.0,202.13960013681208,0.0007036444927166485,0.6152734962764668,44.82292304457054,0.016046313982765164,0.021477226097864153,0.010319666080008847,0.00010990229402191534,0.00027676398857845317,0.0035293385065431017
4,4,360.0,60.0,202.08456606513224,0.0007733524928994484,0.6902508580464156,44.814326549988635,0.01517593881233133,0.009471936554753122,0.013456201048113271,0.00012080991031326349,0.00029952709654722725,0.004359070943483496
5,5,400.0,60.0,202.1516904733124,0.0008930915519158589,0.5927185341821922,44.82481140303695,0.01461435983765783,0.021990164635507795,0.013745872909208706,0.0001394869508395018,0.0003484644402505191,0.00443355178596458
6,6,440.0,60.0,202.19949463552595,0.0011121189474749826,0.5587258936308814,44.832277141549554,0.016438263256396014,0.008777776439365165,0.030820492839778234,0.0001736706628276481,0.0002717854032634907,0.002282744493013427
