cyc,freq (MHz),wiggle time pre,pulse time,wiggle time post,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
150,44.923,0.51,0.04,0.44,1.7,150,35067.5,-0.11268,49.2684,15.7736,80.3461,-0.0387671,238.485,500,0.775907,-2.78659,1.8746,-0.402195,-0.526472,7.45863,333.185,-87.8602,35369.5,25599.4,0.728942,-2.83356,1.78067,-0.44916,-0.573437,2.3224,322.723,-88.6351,35359,0.0117145,1.92542,-0.00463906,27549.2 
151,44.783,0.51,0.04,0.44,1.7,151,33480.3,-0.0634015,48.5382,15.1867,80.2415,-0.152764,3.20606,500,-3.07491,-1.42596,-0.575547,0.78863,0.240816,-12.0321,881.527,-59.968,33148.6,24012.1,-2.99914,-1.35019,-0.424022,0.864393,0.316579,0.881967,898.403,-58.7179,33165.5,0.0339843,1.12915,-0.00327203,26435.9 
152,44.863,0.51,0.04,0.44,1.7,152,35636.3,-0.0203328,50.4543,15.5284,80.5967,-0.011773,-10.8378,6.36488e-11,-3.23181,-1.68196,0.314227,1.37357,-1.71967,65.8225,628.174,-102.917,35451.1,25508.9,-3.64627,-2.09643,-0.514706,0.959105,-2.13413,0.930749,535.851,-109.756,35358.8,0.0193015,1.55871,-0.00575091,27762.1 
153,44.813,0.51,0.04,0.44,1.7,153,28453.2,-0.0758453,45.3413,13.8207,80.4846,-0.249284,1070.38,325.082,-0.762766,-0.677844,2.61763,1.25822,0.909139,-61.198,12507.7,123.245,16360.6,29085.6,-0.377419,-0.292497,3.38832,1.64357,1.29449,0.400982,12593.6,129.604,16446.4,0.49861,0.982309,0.0143087,25257.3 
154,44.883,0.51,0.04,0.44,1.7,154,36167.4,-0.136613,50.1835,15.9634,80.2985,-0.0662253,4.86655,115.181,-1.61074,-2.08928,-1.13578,1.08138,-0.155676,22.9912,635.644,-86.3834,36057.1,26089,-1.75551,-2.23405,-1.42532,0.936612,-0.300446,0.701736,603.396,-88.7721,36024.9,0.0212894,1.34673,-0.00456,28342.6 
155,44.793,0.51,0.04,0.44,1.7,155,37051.5,-0.0275463,50.5282,16.2288,80.3387,-0.00272614,-36.3795,2.09947e-11,-1.12517,-0.119596,0.601623,1.41887,2.15793,6.07075,562.225,-108.415,37114.1,26697.4,-1.1634,-0.157822,0.525171,1.38064,2.1197,0.805801,553.711,-109.045,37105.6,0.0190115,1.52587,-0.00544301,29125 
156,44.763,0.51,0.04,0.44,1.7,156,37580.8,-0.0176511,51.2889,16.1788,80.4169,0.00999174,-19.1166,0.0488891,-1.20491,-0.206656,-0.840021,2.81343,0.682123,16.5115,510.741,-111.884,37632.5,27018.7,-1.30888,-0.310625,-1.04796,2.70946,0.578155,2.68984,487.582,-113.599,37609.4,0.0165581,1.6884,-0.0055952,29446.8 
157,44.903,0.51,0.04,0.44,1.7,157,35107.7,-0.149,51.2669,15.204,80.1838,-1.01657,-826.421,489.45,0.147805,-0.809508,3.60727,0.877724,0.739571,-15.936,449.128,-101.137,35352.8,52722.5,0.248149,-0.709163,3.80796,0.978068,0.839915,0.262728,471.48,-99.4814,35375.1,0.0170146,1.58541,-0.00520732,27710.3 
158,44.663,0.51,0.04,0.44,1.7,158,37553.3,-0.0478351,51.0255,16.2678,80.1911,-0.140559,19.9909,500,-2.39781,-1.58298,-2.19019,-0.347705,-1.03501,54.4293,476.674,-121.416,37664.4,27113.1,-2.74054,-1.9257,-2.87564,-0.690432,-1.37774,0.700767,400.332,-127.071,37588.1,0.0136431,2.2496,-0.00626651,29343.1 
159,44.833,0.51,0.04,0.44,1.7,159,35887.8,-0.0318335,51.0244,15.4978,80.2065,-0.0351882,-53.3929,136.271,-0.994142,-1.81911,1.88161,1.5728,-0.968213,-3.43977,2986.35,-45.986,33360.4,25803.2,-0.972482,-1.79745,1.92493,1.59446,-0.946554,10.7665,2991.18,-45.6286,33365.3,0.104286,1.02743,-0.00252553,28682.4 
