cyc,freq (MHz),wiggle time pre,pulse time,wiggle time post,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,44.923,0.34,0.04,0.61,1.7,0,37012.4,-0.0308653,52.0454,15.6968,80.1111,-0.0270885,-12.2285,1.35432e-11,0.582841,-2.69371,0.0844859,3.46297,-2.25659,15.2941,424.32,-13.767,37228.7,26605.1,0.486538,-2.79001,-0.108119,3.36666,-2.35289,0.922651,402.868,-15.356,37207.2,0.0138669,1.07147,-0.000760845,29052.4 
1,44.783,0.34,0.04,0.61,1.7,1,37720.8,-0.0277879,49.5328,16.7801,79.845,-0.0188814,-14.8444,500,-0.673332,-0.0253436,1.75053,0.892474,-1.34342,61.2126,1443.56,-48.5573,36713.8,27066.3,-1.05877,-0.410783,0.979653,0.507035,-1.72886,1.57232,1357.7,-54.917,36627.9,0.0459285,1.07618,-0.00276956,29561.2 
2,44.863,0.34,0.04,0.61,1.7,2,36083.1,0.0380471,49.1055,16.139,79.946,-0.0169533,-4.19884,5.01248e-11,-0.594332,2.31764,-0.693122,1.02809,4.24672,-14.3245,380.1,42.6633,36221.9,25801.2,-0.504134,2.40783,-0.512727,1.11829,4.33692,1.07489,400.191,44.1516,36242,0.0141378,0.838173,0.0022391,28306.6 
3,44.813,0.34,0.04,0.61,1.7,3,29333.6,-0.0937644,46.5468,13.9173,80.4986,-0.0173338,119.692,261.626,2.76484,1.67123,1.64312,2.4808,1.75199,-80.3424,13518.8,146.576,16252.6,21155.7,3.27073,2.17712,2.65491,2.98669,2.25788,0.80109,13631.5,154.923,16365.3,0.519636,0.980499,0.0171395,26232.8 
4,44.883,0.34,0.04,0.61,1.7,4,38095.8,-0.172009,49.7432,17.0275,80.1642,-0.122528,68.5183,2.00851,0.665104,0.466139,2.37496,3.57671,1.90442,59.4414,599.428,24.545,37957,27846.1,0.290817,0.0918521,1.62639,3.20242,1.53013,0.758754,516.056,18.3692,37873.7,0.017388,0.941361,0.000892648,29678.8 
5,44.793,0.34,0.04,0.61,1.7,5,36881.3,-0.131529,49.8517,16.3692,80.1215,0.0492271,138.665,0.0498634,-2.33678,0.671107,2.89553,1.58608,-0.707798,61.1962,354.948,-47.7597,37059.8,26786.8,-2.72212,0.28577,2.12486,1.20074,-1.09313,11.422,269.114,-54.1177,36974,0.00936405,1.54301,-0.00270352,28739.1 
6,44.763,0.34,0.04,0.61,1.7,6,34341.1,-0.0300388,47.2832,15.9947,80.1609,-0.146003,35.6214,500,-0.560416,0.81815,6.78662,2.72576,1.12596,37.9636,297.136,76.1621,34571.6,24788.7,-0.799462,0.579104,6.30853,2.48671,0.88691,0.333263,243.889,72.2178,34518.4,0.00909252,0.658678,0.00383918,26823 
7,44.903,0.34,0.04,0.61,1.7,7,36913,-0.0475672,49.5949,16.445,80.1183,0.0206153,3.7215,455.959,0.203634,-0.185509,5.47454,0.868096,3.0827,-1.50072,596.458,-7.83851,36840.7,26552.5,0.213083,-0.176059,5.49344,0.877546,3.09215,0.421753,598.563,-7.68259,36842.8,0.0206633,1.02298,-0.00038427,28967.5 
8,44.663,0.34,0.04,0.61,1.7,8,36423,0.0199141,48.8812,16.4182,80.1814,0.056852,-157.521,499.996,0.868616,0.867418,1.50701,2.50572,-0.351715,24.2142,431.688,9.7229,36500.3,26416.8,0.716146,0.714948,1.20207,2.35325,-0.504185,0.731813,397.725,7.20714,36466.3,0.0139666,0.969263,0.000363938,28476.8 
9,44.833,0.34,0.04,0.61,1.7,9,36646,-0.149916,51.6591,15.7379,80.3328,0.230145,-100.307,37.9925,-0.833724,0.180206,4.73618,0.915712,-2.22999,11.2386,1822.18,38.8651,35253.2,27217.5,-0.904491,0.109439,4.59464,0.844945,-2.30076,-0.960355,1806.41,37.6975,35237.5,0.0624208,0.964767,0.00196683,28939.3 
10,44.723,0.34,0.04,0.61,1.7,10,37457.3,-0.0172238,50.4562,16.403,80.0252,-0.013025,-20.7923,500,-0.261127,-2.6722,1.82363,2.17153,1.64563,14.2349,505.594,-3.35534,37326.8,26951,-0.35076,-2.76183,1.64437,2.0819,1.556,0.242113,485.629,-4.8343,37306.8,0.0166244,1.01773,-0.000238761,29211.9 
11,44.703,0.34,0.04,0.61,1.7,11,37178.9,-0.0624586,50.3887,16.3385,80.2245,0.0110488,44.4707,499.565,1.63324,-0.00945825,5.44201,2.33897,2.54801,14.1165,477.019,-16.5108,37337.8,26816.3,1.54435,-0.0983462,5.26423,2.25008,2.45912,0.539011,457.219,-17.9775,37318,0.0156624,1.07389,-0.000888199,29192.1 
12,44.823,0.34,0.04,0.61,1.7,12,33302.6,0.0245054,50.5637,14.4367,80.403,0.0245849,-46.1049,0.00051517,-4.73598,-0.575282,4.64964,4.52208,-2.19544,-32.9665,11420.5,81.8667,22249.3,23799.9,-4.5284,-0.367701,5.0648,4.72966,-1.98786,-0.740184,11466.8,85.2918,22295.5,0.400455,0.98715,0.00699768,28634.3 
13,44.853,0.34,0.04,0.61,1.7,13,36330.4,-0.130667,48.4931,16.579,80.2253,0.0926773,16.8813,95.3968,0.980217,0.666994,3.33448,2.9016,0.243766,21.9415,1186.06,19.3473,35575.1,26222.8,0.842058,0.528834,3.05816,2.76344,0.105606,0.580965,1155.28,17.0677,35544.3,0.0405015,0.974798,0.000883762,28524.4 
14,44.683,0.34,0.04,0.61,1.7,14,37315.5,-0.0206753,50.0372,16.4883,80.3257,-0.0349375,14.5751,499.968,-2.05727,0.687273,0.374962,2.54465,-1.14871,58.9414,326.029,70.2864,37438.3,26874,-2.4284,0.316135,-0.367315,2.17351,-1.51985,0.798833,243.358,64.1626,37355.6,0.00838959,0.684277,0.00315405,29007.2 
15,44.843,0.34,0.04,0.61,1.7,15,36590.4,-0.119623,50.2864,16.163,80.1786,-0.0137341,-117.162,500,-0.528673,-0.967597,1.91102,2.11648,3.62179,9.95086,535.079,5.45935,36638.2,26511.1,-0.591331,-1.03026,1.7857,2.05382,3.55913,0.690899,521.122,4.4255,36624.2,0.0181438,0.985356,0.000222542,28721.8 
16,45.003,0.34,0.04,0.61,1.7,16,37283.9,-0.0183331,49.8081,16.5513,80.3612,0.00648624,-1.99188,1.08453e-10,1.20466,-1.08259,-0.770266,3.29976,3.2515,28.5821,407.771,-15.9392,37378.2,26837,1.02469,-1.26256,-1.13021,3.11979,3.07153,1.23433,367.682,-18.9088,37338.1,0.0126273,1.0989,-0.000933751,29118 
17,44.743,0.34,0.04,0.61,1.7,17,35554.8,-0.122076,48.8519,16.0924,80.2877,6.24561,-1410.06,68.6699,-2.62235,-0.134275,3.52416,2.28047,1.49217,18.7372,187.877,-7.81019,36006.8,312279,-2.74034,-0.252258,3.28819,2.16248,1.37419,0.141973,161.596,-9.75691,35980.6,0.00579891,1.11815,-0.000499776,27866.6 
18,44.803,0.34,0.04,0.61,1.7,18,29342.2,-0.0474705,43.0972,15.0211,80.3558,-0.0698448,30.3262,500,-0.204353,2.32602,-1.19356,0.360022,1.97876,2.89357,3844.97,53.293,26170.9,21142.9,-0.222573,2.3078,-1.23,0.341802,1.96054,1.38954,3840.91,52.9923,26166.9,0.160109,0.976425,0.00371671,23989.4 
19,44.983,0.34,0.04,0.61,1.7,19,36883,-0.0262722,48.6786,16.7567,80.2682,-0.0204599,5.22541,500,-2.62936,-0.149085,3.36436,1.01592,2.49626,23.8401,436.303,27.9111,36898.1,26556.9,-2.77948,-0.299199,3.06413,0.865802,2.34615,0.0416828,402.865,25.4342,36864.6,0.0139939,0.900509,0.00126932,28788.6 
20,44.623,0.34,0.04,0.61,1.7,20,34868.1,-0.111645,48.1043,16.0551,80.318,0.0269227,38.1749,6.20444e-05,-3.44467,-0.956106,0.724536,0.672869,1.39899,32.6196,280.192,-57.5102,35257.3,25175,-3.65007,-1.1615,0.313742,0.467472,1.1936,1.1106,234.44,-60.8992,35211.6,0.00857266,1.83348,-0.00319615,27347.4 
21,44.773,0.34,0.04,0.61,1.7,21,36229.6,-0.145366,49.9973,16.0698,80.236,-0.134777,52.3896,259.252,1.30656,0.537205,1.37349,1.74802,-0.963656,-0.0137537,500.739,-10.1283,36290.6,26384.7,1.30665,0.537291,1.37366,1.74811,-0.96357,0.656768,500.758,-10.1269,36290.7,0.0176047,1.03669,-0.000514303,28444.6 
22,44.643,0.34,0.04,0.61,1.7,22,37942.6,-0.188661,50.5748,16.7191,79.9963,-0.412585,-269.314,337.147,-1.57945,-1.39463,-0.0234703,-0.0650912,2.86258,44.0685,376.548,-46.9695,38110.6,31143.1,-1.85694,-1.67212,-0.578445,-0.342579,2.5851,0.689838,314.737,-51.5481,38048.8,0.0106286,1.40177,-0.00250191,29612.3 
23,44.963,0.34,0.04,0.61,1.7,23,34664,-0.00505353,48.5212,15.7246,80.3687,-0.00988526,7.33298,500,-0.935319,1.84568,2.3832,3.06016,3.19087,-54.5469,253.94,-46.217,35087.4,24839.7,-0.591852,2.18915,3.07014,3.40362,3.53434,0.735456,330.447,-40.5498,35163.9,0.0120572,1.27347,-0.00212877,27406.7 
24,44.943,0.34,0.04,0.61,1.7,24,37108.8,-0.016971,49.9051,16.4214,80.3503,-0.00513447,-15.1759,7.46918e-11,0.525089,0.771733,0.961807,1.55979,-1.07041,37.3589,389.188,-55.2331,37304.6,26680.3,0.28985,0.536494,0.491329,1.32455,-1.30565,0.632398,336.789,-59.1145,37252.2,0.011605,1.44335,-0.00293176,29021 
