,index,time,pulse_length,B,e_B,A,x0,sigma,C,e_A,e_x0,e_sigma,e_C
0,0,360.0,40.0,202.0959651054717,0.000620010407629934,0.5357592345157293,44.81610723230248,0.022702478552167275,0.012160557817667767,0.005410013541957044,9.685215999977679e-05,0.00023450908498351915,0.0012252132813730945
1,1,390.0,40.0,202.14984826318533,0.0005773045295995871,0.5300570241971414,44.824523677409694,0.023018489406739787,0.012221812670355084,0.004921341410057052,9.0166491059826e-05,0.00021758879122040924,0.0011233247618507756
2,2,420.0,40.0,202.21059949517775,0.0006608003637040838,0.5457956199330732,44.83401127210773,0.02311462303127925,0.012422403526611673,0.005778820750555751,0.0001031885078483324,0.0002519665710100079,0.0013119138889722793
3,3,450.0,40.0,202.21818354029872,0.000718928820617748,0.52611364076218,44.835195560466865,0.023022278839965955,0.014455535942042063,0.00607573201602557,0.00011226310288105694,0.00027353094267571507,0.0013788981207099769
4,4,480.0,40.0,202.14988186939982,0.0005208804654159849,0.5124838435512387,44.8245289262113,0.0233203468795608,0.014163736143287847,0.004239197361837146,8.135387902833115e-05,0.0001961912084473517,0.0009744661603024616
5,5,500.0,40.0,202.10584975022041,0.0006649447400661757,0.5197072133217645,44.81765129653963,0.022463696894018097,0.015134322619788499,0.005686603802221698,0.00010386829091598079,0.00025086354639012253,0.001280609836874799
6,6,530.0,40.0,202.1036332018241,0.000744186895559551,0.5332893855082905,44.817305057109024,-0.02273542536039263,0.014622741196315119,0.006456436571893649,0.00011624714151515262,0.00028147921128998546,0.0014636236485461261
7,7,560.0,40.0,202.1534979368641,0.0005030413319673244,0.5044054469671722,44.825093700225395,0.024512122978271933,0.014170058648713983,0.0038613551045341425,7.856681887868739e-05,0.00018868472607507978,0.0008986335967661706
8,8,590.0,40.0,202.2307139146557,0.0029184921011449205,1.071699111405955,44.837152185050634,0.009381539815680864,0.025145799283509032,0.4631163419796482,0.0004557135333759939,0.0017839495178497526,0.009935571053564454
9,9,620.0,40.0,202.2114938922792,0.0007152597395929661,0.5510279711117245,44.834150938299175,0.021851834233500816,0.01511932198294538,0.006710066862176639,0.00011169240387492129,0.00027183559253830233,0.0014566279014596784
