cyc,freq (MHz),wiggle time pre,pulse time,wiggle time post,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
100,44.923,0.46,0.04,0.49,1.7,100,35211.8,-0.1431,50.3974,15.4985,80.4199,-0.281296,67.691,283.486,-2.23391,0.0388137,6.25181,-0.175808,2.99132,-13.2403,372.888,-93.1868,35451.8,26046.7,-2.15054,0.122184,6.41855,-0.0924369,3.07469,0.129387,391.459,-91.8112,35470.3,0.0141302,1.69617,-0.00479094,27703.6 
101,44.783,0.46,0.04,0.49,1.7,101,34108.9,-0.127165,49.2265,15.3437,80.282,-0.0663296,15.6511,1.30328,1.13966,-1.56904,2.47555,1.37822,0.308317,10.9199,644.965,-44.9422,34069.8,24621.9,1.0709,-1.6378,2.33803,1.30946,0.239558,0.295805,629.649,-46.0768,34054.4,0.0234492,1.14687,-0.00249866,26851.6 
102,44.863,0.46,0.04,0.49,1.7,102,33300.7,-0.0981451,50.195,14.6324,80.6052,-0.444412,367.242,7.31944,-0.39451,-2.16644,2.09678,0.881649,2.58522,78.8539,901.596,-76.1942,33022.3,29222.4,-0.891032,-2.66297,1.10374,0.385127,2.0887,-45.8359,790.996,-84.3868,32911.7,0.0302681,1.22955,-0.00474564,26133 
103,44.813,0.46,0.04,0.49,1.7,103,34042.6,-0.0847007,51.4158,14.5687,80.5598,0.033671,-26.3861,191.001,0.081192,-0.0671956,0.884046,1.01505,3.4561,-22.8735,6234.44,15.0457,28272.8,24413.3,0.22522,0.0768327,1.1721,1.15908,3.60012,0.811963,6266.52,17.4222,28304.9,0.223316,0.995158,0.00113257,28061.3 
104,44.883,0.46,0.04,0.49,1.7,104,35615.4,-0.159257,50.932,15.5439,80.0463,0.199667,-521.314,86.6026,-2.85384,-1.61727,1.08225,0.114839,2.90553,-4.6581,601.823,-82.4153,35611.6,29160.2,-2.82451,-1.58794,1.14091,0.14417,2.93486,6.92652,608.356,-81.9313,35618.2,0.0217004,1.30836,-0.00425537,28034.3 
105,44.793,0.46,0.04,0.49,1.7,105,36863.3,-0.0169869,50.8272,16.009,80.0186,-0.0372947,-144.724,500,-1.49149,1.97391,2.56559,5.26023,1.67131,14.3679,1091.95,-69.9135,36298.7,26664.1,-1.58196,1.88344,2.38465,5.16976,1.58084,0.747301,1071.8,-71.4063,36278.6,0.0369506,1.13198,-0.00363897,29006.3 
106,44.763,0.46,0.04,0.49,1.7,106,37382.4,-0.180116,52.4991,15.8561,80.2599,-0.126739,176.819,498.067,0.182086,-0.186003,0.646043,0.610418,1.53758,31.4949,668.057,-68.9201,37258.5,27827.8,-0.0162295,-0.384318,0.249413,0.412103,1.33926,0.844139,623.882,-72.1923,37214.4,0.0213082,1.25392,-0.00358633,29278.9 
107,44.903,0.46,0.04,0.49,1.7,107,36869.4,-0.00610939,49.4391,16.4331,80.1637,0.00049766,-12.0404,2.04105e-11,-1.32948,-0.0516464,0.599042,0.111292,-0.87148,42.0516,469.501,-104.89,36878.3,26447.7,-1.59427,-0.316434,0.069466,-0.153496,-1.13627,1.02219,410.519,-109.259,36819.3,0.0142733,1.87182,-0.0054964,28761.4 
108,44.663,0.46,0.04,0.49,1.7,108,35870.6,-0.160511,50.1782,15.8907,80.2876,-0.071212,132.865,391.591,-1.20377,-0.115072,0.0133642,2.89723,-0.00624761,20.6307,397.249,-50.8885,35981.2,26264.9,-1.33368,-0.244978,-0.246448,2.76733,-0.136154,1.30574,368.313,-53.0319,35952.3,0.0131299,1.33686,-0.00272463,28051.6 
109,44.833,0.46,0.04,0.49,1.7,109,33247.1,-0.0332424,51.4704,14.206,80.4185,0.117807,-241.273,499.991,-0.673786,-0.569113,2.16084,-0.773457,0.541371,-25.4188,9500.76,53.0584,24187.1,24727.8,-0.513731,-0.409058,2.48095,-0.613401,0.701426,-0.50709,9536.41,55.6993,24222.7,0.338316,0.989882,0.00421799,28187.9 
110,44.723,0.46,0.04,0.49,1.7,110,33828.6,0.037013,49.4948,15.0699,80.4141,-0.00905331,-22.3745,3.40352e-10,-3.50441,-0.287149,3.07147,2.22047,1.8303,28.4317,272.043,-91.5321,34212.6,24287.5,-3.68344,-0.466176,2.71342,2.04145,1.65127,-0.202478,232.165,-94.4861,34172.7,0.00874605,3.47477,-0.00511942,26545.1 
111,44.703,0.46,0.04,0.49,1.7,111,34364,-0.00383092,50.6877,15.0026,80.4641,0.0392062,-159.899,500,-0.582804,-1.00677,1.11972,1.71123,2.3467,-16.684,351.358,-110.945,34677.1,24959.2,-0.477749,-0.901715,1.32983,1.81628,2.45175,0.684754,374.759,-109.211,34700.5,0.0138317,2.04074,-0.00583138,27094.2 
112,44.823,0.46,0.04,0.49,1.7,112,29439.1,-0.0570344,48.1521,13.4944,80.7365,-0.00537237,142.312,500,-0.104087,-0.111362,1.00979,0.641724,-0.909337,-48.1573,13584.4,102.408,16218.9,21177.5,0.199146,0.191871,1.61626,0.944958,-0.606103,0.311096,13651.9,107.411,16286.5,0.521215,0.986418,0.0120031,26192.5 
113,44.853,0.46,0.04,0.49,1.7,113,37809.5,-0.163444,52.3381,16.0459,80.3808,-0.171992,-251.979,476.086,-1.85987,-3.02259,3.91437,2.88998,0.705101,0.202226,1002.22,-105.136,37407.9,28749.5,-1.86114,-3.02386,3.91183,2.88871,0.703828,-0.49343,1001.93,-105.157,37407.6,0.0336154,1.22499,-0.0052053,29805.8 
114,44.683,0.46,0.04,0.49,1.7,114,32892.9,-0.12725,49.3786,14.7618,80.3793,-0.126933,296.404,142.883,-0.478659,-1.25032,1.07515,1.01293,-2.12782,39.5422,340.502,-105.127,33254.5,24953.3,-0.727645,-1.49931,0.577182,0.763946,-2.37681,1.17691,285.04,-109.235,33199,0.0110274,3.03626,-0.00609805,25848.3 
115,44.843,0.46,0.04,0.49,1.7,115,33983.7,-0.134812,49.9603,15.0813,80.4452,0.192376,-101.108,110.022,-1.83811,-1.1044,1.31497,6.13757,0.843246,-16.9294,1210.63,-66.5512,33512.9,25161,-1.73151,-0.997802,1.52817,6.24417,0.949846,0.745002,1234.38,-64.7923,33536.6,0.0456205,1.10115,-0.00357163,27057.6 
116,45.003,0.46,0.04,0.49,1.7,116,33488,-0.0520598,48.6792,15.1534,80.4649,-0.0456324,-81.1594,500,-1.35468,-2.31501,4.40608,1.02851,0.525047,1.44818,240.969,-75.6272,33900.5,24133.7,-1.3638,-2.32413,4.38784,1.01939,0.515928,-0.963035,238.938,-75.7776,33898.5,0.00907102,2.2472,-0.00413492,26340.8 
117,44.743,0.46,0.04,0.49,1.7,117,35899.5,-0.0522023,50.764,15.6972,80.4267,-0.0443365,29.5944,500,4.26281,-1.98638,2.54635,2.27193,0.177157,-18.1323,745.04,-132.967,35734.2,25982.9,4.37698,-1.87221,2.7747,2.38611,0.291332,0.651284,770.473,-131.084,35759.6,0.02722,1.42396,-0.00679849,28305.4 
118,44.803,0.46,0.04,0.49,1.7,118,34791.8,-0.13628,50.8043,15.1795,80.2878,-0.110645,-61.8816,147.357,-2.48033,-1.33305,2.51614,2.71116,0.185051,-0.195198,746.632,-92.1704,34648.4,25327.5,-2.4791,-1.33183,2.5186,2.71239,0.18628,-0.567906,746.906,-92.1501,34648.7,0.0272331,1.27536,-0.0049233,27426.4 
