cyc,freq,Charge Time,Wiggle Time,Pulse Time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
16,44.803,0.59,0.27,0.12,1.4,16,33568.8,-0.177111,55.4096,13.9146,78.73,-0.117136,104.771,500,0.0763225,0.880816,3.64019,3.47508,0.642935,31.8595,199.918,-120.41,34957.1,25498.1,-0.124288,0.680206,3.23897,3.27447,0.442325,0.568809,155.232,-123.72,34912.4,0.00375392,-2.53321,-0.00657081,41351.9 
17,44.839,0.51,0.35,0.12,1.4,17,35699.2,-0.0383622,58.7263,13.843,78.8204,-0.0246533,22.5948,1.64512e-12,-1.19433,-2.69069,-2.16463,0.833229,1.58919,18.9588,3568.18,-53.3355,33526.5,26482.3,-1.31371,-2.81007,-2.40339,0.71385,1.46981,0.446672,3541.58,-55.3052,33499.9,0.0822258,1.0281,-0.00305042,43071.5 
18,44.827,0.51,0.35,0.12,1.4,18,36764.8,-0.410677,64.0899,13.1871,78.8389,-0.0688579,191.28,83.2683,-1.68762,6.33471,5.03879,1.80603,-1.23563,-41.5134,12777.9,65.2499,25505.3,27941.5,-1.42622,6.5961,5.56159,2.06743,-0.974229,0.529663,12836.2,69.563,25563.5,0.298508,0.990605,0.00498771,43001.1 
19,44.83,0.63,0.23,0.12,1.4,19,38247.5,-0.110883,64.6334,13.4683,78.7337,0.186552,-51.6439,500,0.923361,-2.01924,1.68352,1.70386,2.08721,-18.6257,12648.5,57.4641,26960.5,28651.3,1.04064,-1.90196,1.91808,1.82114,2.20449,0.622603,12674.6,59.3992,26986.6,0.284703,0.991865,0.00403822,44518.8 
20,44.818,0.55,0.31,0.12,1.4,20,36733.8,-0.443459,65.1176,13.0257,78.7913,-0.531712,633.51,227.656,-2.11595,0.614062,2.86268,1.76028,0.294917,-46.1242,15016.9,189.339,23244.8,38577.2,-1.82552,0.904494,3.44354,2.05071,0.585349,0.332463,15081.6,194.131,23309.5,0.354138,0.97797,0.01511,42586.8 
21,44.815,0.51,0.35,0.12,1.4,21,35312.7,-0.00221259,59.0133,13.6251,78.7193,-0.0336995,0.679759,500,0.751719,1.84679,-0.255937,8.14875,3.81028,-42.0552,5856.8,-0.438861,31007.4,26175.7,1.01653,2.1116,0.273684,8.41356,4.07509,0.982777,5915.79,3.93052,31066.4,0.138953,0.998839,0.000233009,42574.1 
22,44.818,0.63,0.23,0.12,1.4,22,36088.5,-0.443692,60.9409,13.6889,78.5085,-0.456495,1363.66,114.142,0.61263,-0.460647,4.68516,-3.4358,4.45086,-28.0591,6283.8,-26.9013,31254.9,47420.9,0.789311,-0.283966,5.03852,-3.25912,4.62754,0.271078,6323.16,-23.986,31294.2,0.146199,1.00668,-0.00141391,43250.3 
23,44.824,0.59,0.27,0.12,1.4,23,31868.9,-0.426616,55.0592,13.4513,78.5882,-0.0837609,-17.6324,16.8827,0.601551,-0.165436,3.85021,3.86076,3.72428,-27.8059,2803.65,-50.8134,30671.4,24157.7,0.776637,0.00965035,4.20038,4.03585,3.89936,0.67494,2842.65,-47.9245,30710.4,0.0727376,1.0304,-0.00288295,39080.9 
24,44.833,0.63,0.23,0.12,1.4,24,36257.6,0.0544835,60.8162,13.5253,78.8518,-0.023448,-19.1456,1.30378e-11,0.737748,0.57359,4.15258,1.33461,-0.444903,8.45594,8010.98,33.6265,29757.5,26791.6,0.684503,0.520345,4.04609,1.28137,-0.498147,0.329469,7999.12,32.748,29745.6,0.185599,0.992887,0.00202394,43098.9 
25,44.821,0.47,0.39,0.12,1.4,25,33882.7,0.00848449,55.9531,13.9262,78.9157,-0.0245888,21.5143,0.0501627,-0.258547,2.09555,5.71574,2.95297,4.56565,-9.08834,1478.27,-104.858,34069.1,25383.1,-0.201321,2.15278,5.83019,3.01019,4.62287,0.621777,1491.02,-103.914,34081.8,0.0357493,1.1389,-0.00564823,41707.6 
26,44.8,0.75,0.11,0.12,1.4,26,32457.3,-0.0386613,54.5544,13.703,78.6002,-0.0280256,25.6305,500,-0.147928,4.77752,-4.05539,1.1,2.92533,44.8912,287.036,-117.777,33887.2,24358.9,-0.430597,4.49486,-4.62072,0.817328,2.64267,2.59142,224.072,-122.441,33824.3,0.00558271,22.8635,-0.00671302,40136.7 
27,44.824,0.47,0.39,0.12,1.4,27,35495.5,-0.463181,59.6674,13.7765,78.5793,-0.601096,1304.99,186.273,1.34204,0.522613,7.70286,1.33228,0.989881,-11.6711,4436.8,-6.09106,32595.5,52294.8,1.41553,0.596103,7.84984,1.40577,1.06337,0.363386,4453.17,-4.87848,32611.9,0.103718,1.00192,-0.00027564,42935.2 
28,44.83,0.51,0.35,0.12,1.4,28,36401.7,-0.0509029,61.6182,13.405,78.8528,-0.000458131,-83.1572,499.99,-0.309358,1.38149,1.09163,-0.512049,2.75041,5.28426,11023.2,71.3357,26695,26890,-0.342631,1.34822,1.02508,-0.545322,2.71714,0.756077,11015.8,70.7867,26687.6,0.259151,0.98888,0.00486227,42507.1 
