cyc,freq,Charge Time,Wiggle Time,Pulse Time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
120,44.839,0.72,0.09,0.17,1.35,120,34132.7,-0.0673326,56.5188,13.7945,78.8584,-0.0778611,60.975,500,0.837252,3.79401,3.76452,1.14487,-1.84272,33.3032,696.426,-96.8293,34834.2,25534.8,0.627551,3.58431,3.34512,0.935174,-2.05242,0.48055,649.715,-100.289,34787.5,0.0155811,1.3701,-0.00533898,41699 
121,44.8,0.64,0.17,0.17,1.35,121,34106.4,-0.0624465,55.276,14.0037,78.856,0.00047209,-45.5432,500,-0.555896,3.19059,4.33288,1.6013,3.92138,25.3495,259.638,-118.234,35147.8,25199.1,-0.715515,3.03097,4.01364,1.44168,3.76176,0.651973,224.082,-120.868,35112.3,0.00537928,17.8357,-0.00638159,41656.6 
122,44.818,0.44,0.37,0.17,1.35,122,35413.3,0.0331943,60.0582,13.3138,79.0844,0.00961537,-45.0943,0.000972279,-1.19878,0.681129,7.27287,-0.227767,1.08037,17.7735,8222,66.9734,28573.4,26043.8,-1.31069,0.569214,7.04904,-0.339682,0.968456,-0.0162484,8197.07,65.1268,28548.5,0.195708,0.986287,0.00418476,41884.3 
123,44.824,0.68,0.13,0.17,1.35,123,33276.7,-0.0865646,56.5682,13.4625,78.7339,0.00172026,-82.7538,2.03017e-05,1.50536,0.0263304,1.4237,3.70255,3.07528,-2.86845,1126.54,-85.4577,33759.9,24795.6,1.52342,0.0443922,1.45982,3.72061,3.09334,0.851668,1130.57,-85.1597,33763.9,0.0275936,1.15183,-0.00466786,40972 
124,44.809,0.72,0.09,0.17,1.35,124,34835.1,-0.0939534,57.2249,13.874,78.7884,-0.0911183,347.84,499.944,-1.27748,1.72844,3.66648,2.02099,4.39114,87.7101,1487.92,-75.9576,34693.6,26877.1,-1.82976,1.17615,2.56191,1.4687,3.83886,0.644961,1364.9,-85.0703,34570.6,0.0323756,1.12243,-0.00455364,42158.2 
125,44.83,0.64,0.17,0.17,1.35,125,34906.3,-0.402045,60.0208,13.3922,78.8352,1.29398,-4945.61,388.612,3.01892,5.81938,4.88842,2.59702,2.67767,-5.85088,6761.07,48.6834,29603.3,234492,3.05576,5.85622,4.9621,2.63386,2.71451,0.741859,6769.27,49.2913,29611.5,0.162291,0.987418,0.00305699,41710.8 
126,44.839,0.56,0.25,0.17,1.35,126,35553.1,-0.0300345,57.4392,14.0538,78.7374,-0.0325302,7.83736,500,0.641336,1.87278,5.60158,0.304514,3.77402,8.19013,1818.9,-93.593,34924.7,26286.7,0.589764,1.82121,5.49843,0.252943,3.72245,0.537356,1807.41,-94.444,34913.2,0.042028,1.10065,-0.00500804,43005 
127,44.803,0.48,0.33,0.17,1.35,127,35636,-0.0198113,58.3442,13.9041,78.6896,-0.0289362,25.2514,3.95969e-06,3.38391,3.72747,4.6693,3.99678,4.96131,-28.5001,1093.14,-117.811,36051.3,26431.9,3.56337,3.90693,5.02821,4.17623,5.14076,0.769512,1133.11,-114.85,36091.2,0.0259171,1.21562,-0.00589652,43720.8 
128,44.833,0.68,0.13,0.17,1.35,128,35726.9,-0.397448,58.1802,14.1133,78.8714,-0.0649693,-250.065,298.244,-2.14815,2.25213,3.29509,2.87908,2.66131,53.463,2782.88,-53.1592,34420.2,27258.8,-2.48479,1.91548,2.6218,2.54243,2.32467,0.621104,2707.89,-58.7138,34345.2,0.0626316,1.03944,-0.00315906,43235.3 
129,44.815,0.64,0.17,0.17,1.35,129,36531.3,-0.42728,61.8924,13.6038,78.7761,-0.0240323,153.444,490.052,-0.204165,3.29645,-0.648884,-0.184485,1.15849,-8.649,4612.94,-6.13277,33355.8,27529,-0.149705,3.35091,-0.539963,-0.130025,1.21295,1.14421,4625.07,-5.23418,33368,0.105117,1.00198,-0.00028904,43999.3 
130,44.8,0.52,0.29,0.17,1.35,130,34796.9,-0.424666,57.518,13.9782,78.7637,-0.463104,861.615,448.135,-0.331028,0.793122,1.87017,1.2223,2.80301,23.9851,337.466,-141.757,35850.9,39162.1,-0.482056,0.642094,1.56811,1.07127,2.65198,0.712347,303.824,-144.249,35817.3,0.00713735,5.91239,-0.00747429,42568.2 
131,44.836,0.64,0.17,0.17,1.35,131,35002.8,-0.0339134,57.6588,13.8205,78.7817,-0.108939,247.975,500,0.907373,2.31241,6.03972,-1.00903,2.26899,92.904,1788.04,-102.289,34711.5,26820.2,0.322381,1.72742,4.86974,-1.59403,1.684,0.305267,1657.73,-111.942,34581.2,0.039039,1.13401,-0.00599879,42463.5 
132,44.836,0.44,0.37,0.17,1.35,132,34994.9,-0.421978,57.5879,14.0307,78.7224,-0.336812,638.908,12.8131,-0.267943,-0.502349,4.48386,0.561504,3.98272,-19.9688,1582.23,-99.4152,34724,33308.2,-0.142205,-0.376611,4.73533,0.687242,4.10845,0.474565,1610.24,-97.3406,34752,0.0377834,1.1183,-0.0051865,42617.6 
133,44.803,0.68,0.13,0.17,1.35,133,35922.5,-0.428733,58.1668,14.2506,78.816,0.586767,-854.113,445.581,-1.11957,-0.219197,6.46005,-1.46093,5.8574,39.0574,298.315,-145.763,37024.9,43298.3,-1.3655,-0.465131,5.96818,-1.70686,5.61147,0.257888,243.533,-149.821,36970.2,0.00555146,-13.0559,-0.00752124,43868.3 
134,44.809,0.56,0.25,0.17,1.35,134,35790.7,-0.433878,58.6562,14.0928,78.8843,-0.160029,200.08,455.464,-0.69374,3.71016,4.27484,-0.13603,1.36324,27.5806,666.784,-103.056,36541.8,27951.9,-0.867407,3.53649,3.9275,-0.309697,1.18957,0.474684,628.1,-105.921,36503.1,0.0143724,1.41867,-0.00537395,43701.8 
